place_id,nama_wisata,kabupaten,provinsi,kabupaten_gmaps,provinsi_gmaps,kab_dari_teks,alamat_gmaps,lat_gmaps,lon_gmaps,status_gmaps
ChIJTWtCS60Cvy0RB9LEfNoFeno,Pantai Losari,Kota Makassar,Sulawesi Selatan,Kota Makassar,Sulawesi Selatan,nan,"Jl. Somba OPU No.57, Maloku, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111",,,OK_GEO
ChIJRe5FBcayvi0RjN3evEJQtvg,Tribun Pantai Seruni,Kabupaten Bantaeng,Sulawesi Selatan,Kabupaten Bantaeng,Sulawesi Selatan,nan,"Jl. Seruni, Pallantikang, Kec. Bantaeng, Kabupaten Bantaeng, Sulawesi Selatan 92411",,,OK_GEO
ChIJeaVDy0Pjvi0RmquBLs_T5Oc,Bugis Waterpark Adventure,Kota Makassar,Sulawesi Selatan,Kota Makassar,Sulawesi Selatan,nan,"Jl. Raya Baruga No.1, Antang, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90562",,,OK_GEO
ChIJ4RUE5IP2lS0R7-4_zE5BVtc,Taman Kalong Watansoppeng,Kabupaten Soppeng,Sulawesi Selatan,Kabupaten Soppeng,Sulawesi Selatan,nan,"MV2P+76Q, Botto, Kec. Lalabata, Kabupaten Soppeng, Sulawesi Selatan 90811",,,OK_GEO
ChIJs8z4-u7tky0R0SmrqPRGQqA,Patung Tuhan Yesus Memberkati,Kabupaten Tana Toraja,Sulawesi Selatan,Kabupaten Tana Toraja,Sulawesi Selatan,nan,"WV38+WH5, Buntu Burake, Kec. Makale, Kabupaten Tana Toraja, Sulawesi Selatan 91817",,,OK_TEXT
ChIJidAw6lIdvy0RkBC2CayiAWE,Pantai Losari,Kota Makassar,Sulawesi Selatan,Kota Makassar,Sulawesi Selatan,nan,Sulawesi Selatan,,,OK_GEO
ChIJXdb6FGp1hzIRj_DDslIOGQI,Tugu Zero Point,Kota Manado,Sulawesi Utara,Kota Manado,Sulawesi Utara,nan,"FRRQ+7MJ, Jl. Jendral Sudirman, Pinaesaan, Kec. Wenang, Kota Manado, Sulawesi Utara",,,OK_GEO
ChIJleApO8v3vi0R8xU5_AQbpcs,Cinta Souvenir Bantimurung,Kabupaten Maros,Sulawesi Selatan,Kabupaten Maros,Sulawesi Selatan,Kota Makassar,"Kalabbirang, Kec. Bantimurung, Makassar, Sulawesi Selatan 90561",,,GEO_WIN
ChIJ2ZoiF-LBky0Rez3x1SgEWfo,"Lolai - To' Tombi, Negeri di atas awan",Kabupaten Toraja Utara,Sulawesi Selatan,Kabupaten Toraja Utara,Sulawesi Selatan,nan,"Lolai, Kec. Kapala Pitu, Kabupaten Toraja Utara, Sulawesi Selatan 91854",,,OK_GEO
ChIJ-c5v3ezzuy0R2sia802Iu8U,Pantai Bira Pasir Putih,Kabupaten Bulukumba,Sulawesi Selatan,Kabupaten Bulukumba,Sulawesi Selatan,nan,"9FP5+7F2, Jalan Poros Jl. Pasir Putih Bira, Bira, Kec. Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan 92571",,,OK_GEO
ChIJN1blDtvtiy0R_CxnmF5s5Kg,Taman Gor,Kota Palu,Sulawesi Tengah,Kota Palu,Sulawesi Tengah,nan,"4V3C+MW9, Jl. Chairil Anwar, Besusu Tengah, Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94111",,,OK_GEO
ChIJJ7bA85XBky0R7ZS3wepAzr4,Lolai Tongkonan Lempe,Kabupaten Toraja Utara,Sulawesi Selatan,Kabupaten Toraja Utara,Sulawesi Selatan,nan,"Benteng Mamulu, Kec. Kapala Pitu, Kabupaten Toraja Utara, Sulawesi Selatan 91854",,,OK_GEO
ChIJu4VVoVhzhzIR9sxb_RpwM5A,Monumen Yesus Memberkati,Kota Manado,Sulawesi Utara,Kota Manado,Sulawesi Utara,nan,"CRQX+625, Jl. Monumen Yesus Memberkati, Winangun Satu, Kec. Malalayang, Kota Manado, Sulawesi Utara",,,OK_GEO
ChIJ8ee55MXmvi0RPbaA-1L_kfc,Wisata Kebun Gowa,Kabupaten Gowa,Sulawesi Selatan,Kabupaten Gowa,Sulawesi Selatan,nan,"Jl. Malino, Bontomanai, Kec. Bontomarannu, Kabupaten Gowa, Sulawesi Selatan 92171",,,OK_GEO
ChIJP4SACNtzeC0R9-9j9p70bWA,Taman Nasional Bunaken,Kota Manado,Sulawesi Utara,Kota Manado,Sulawesi Utara,nan,"Pelabuhan Marina plazaa, Manado City, North Sulawesi",,,OK_GEO
ChIJn4UlXcDymC0RDFC5iWg12jw,Taman Kota Kendari,Kota Kendari,Sulawesi Tenggara,Kota Kendari,Sulawesi Tenggara,nan,"2GG7+H6G, Mandonga, Kec. Mandonga, Kota Kendari, Sulawesi Tenggara 93111",,,OK_GEO
ChIJq6qqqj6Wvi0RN94047LvmYg,Malino highlands,Kabupaten Gowa,Sulawesi Selatan,Kabupaten Gowa,Sulawesi Selatan,nan,"Pattapang, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92171",,,OK_GEO
ChIJP226Qg4dvy0RqS_VJ43qKEk,Pantai Akkarena,Kota Makassar,Sulawesi Selatan,Kota Makassar,Sulawesi Selatan,nan,"Jalan Tanjung Bunga, Tj. Merdeka, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224",,,OK_GEO
ChIJMa1AS64Cvy0Ru_ssSD8Thig,Taman Macan,Kota Makassar,Sulawesi Selatan,Kota Makassar,Sulawesi Selatan,nan,"VC75+P5P, Jl. Sultan Hasanuddin, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171",,,OK_GEO
ChIJreCviONZvi0RioW0jGuSkDU,Kampoeng Karst Rammang Rammang,Kabupaten Maros,Sulawesi Selatan,Kabupaten Maros,Sulawesi Selatan,Kabupaten Pangkajene Dan Kepulauan,"Rammang Rammang, Salenrang, Bontonlempangan, Kec. Bontoa, Kabupaten Maros, Sulawesi Selatan 90561",,,TEXT_WIN
ChIJ0XvYFv5MlC0RHSd-0TiamS4,Lasinrang Park,Kabupaten Pinrang,Sulawesi Selatan,Kabupaten Pinrang,Sulawesi Selatan,nan,"Jl. Dr. Wahidin Sudiro Husodo, Jaya, Kec. Watang Sawitto, Kabupaten Pinrang, Sulawesi Selatan 91213",,,OK_GEO
ChIJv_2QIT30uy0RriiX8ght_7U,Tebing Apparalang,Kabupaten Bulukumba,Sulawesi Selatan,Kabupaten Bulukumba,Sulawesi Selatan,nan,"FC6X+XRG, Ara, Kec. Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan",,,OK_GEO
ChIJzUqjdF_2vi0R1ptg8CvLDzk,Taman Nasional Bantimurung Bulusaraung,Kabupaten Maros,Sulawesi Selatan,Kabupaten Maros,Sulawesi Selatan,nan,"Jln. Poros Maros-Bone Km.12, Kalabbirang, Bantimurung, Kalabbirang, Kec. Bantimurung, Kabupaten Maros, Sulawesi Selatan 90561",,,OK_GEO
ChIJeU_Sak0dvy0R_qmG80UtmJ8,Masjid Kubah 99,Kota Makassar,Sulawesi Selatan,Kota Makassar,Sulawesi Selatan,nan,"Jl. H. Bau No.36, Kunjung Mae, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90125",,,OK_GEO
ChIJLQWTYilOvi0RBLtq01mDiSs,Taman Musafir,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,nan,"Padoang Doangan, Kec. Pangkajene, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan 90614",,,OK_GEO
ChIJfb6H9KFYvi0RsCvI4hZz9aw,Taman Arkeologi Leang Leang,Kabupaten Maros,Sulawesi Selatan,Kabupaten Maros,Sulawesi Selatan,nan,"2MFF+2M6 Ktr. Kelurahan Leang Leang, Leang-Leang, Kec. Bantimurung, Kabupaten Maros, Sulawesi Selatan 90561",,,OK_GEO
ChIJuVDWk6K8lS0RDwcHlQKt0VY,Tonrangeng Riverside,Kota Parepare,Sulawesi Selatan,Kota Parepare,Sulawesi Selatan,nan,"XJ3G+292, Lumpue, Kec. Bacukiki Bar., Kota Parepare, Sulawesi Selatan 91123",,,OK_GEO
ChIJ5wCm0jLrlS0RhWiqacsMd6Y,Taman Wisata Alam Lejja,Kabupaten Soppeng,Sulawesi Selatan,Kabupaten Soppeng,Sulawesi Selatan,nan,"Jl. Poros Lejja, Bulue, Kec. Marioriawa, Kabupaten Soppeng, Sulawesi Selatan 90852",,,OK_GEO
ChIJjTBq2rDZki0RGax81Kex6L8,Space iklan 5x10. Anjungan Pantai Manakarra,Kabupaten Mamuju,Sulawesi Barat,Kabupaten Mamuju,Sulawesi Barat,nan,"Anjungan Pantai Manakarra, Jl. Yos Sudarso, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511",,,OK_TEXT
ChIJ_____7-xhzIRgVGx3pjh_cY,Pantai Paal,Kabupaten Minahasa Utara,Sulawesi Utara,Kabupaten Minahasa Utara,Sulawesi Utara,nan,"Kec. Likupang Tim., Kabupaten Minahasa Utara, Sulawesi Utara",,,OK_GEO
ChIJkZzkXEn4vi0RGkOZYfalLTQ,Masjid Al Markaz Al Islami Maros,Kabupaten Maros,Sulawesi Selatan,Kabupaten Maros,Sulawesi Selatan,nan,"XHMF+J7C, Desa Jl. Butta Toa, Pettuadae, Kec. Turikale, Kabupaten Maros, Sulawesi Selatan 90516",,,OK_GEO
ChIJUyYblCXivi0R3hCr1lbjR1s,Museum Balla Lompoa,Kabupaten Gowa,Sulawesi Selatan,Kabupaten Gowa,Sulawesi Selatan,nan,"Jl. K. H. Wahid Hasyim No.39, Sungguminasa, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92111",,,OK_GEO
ChIJy9LFmt7rky0RU-2zFqy9ZqE,Londa Ancient Graveyard,Kabupaten Toraja Utara,Sulawesi Selatan,Kabupaten Toraja Utara,Sulawesi Selatan,nan,"XVPG+483, Lembang Sangbua, Kesu, Tadongkon, Kec. Kesu, Kabupaten Toraja Utara, Sulawesi Selatan 91852",,,OK_GEO
ChIJt92KUDIEpy0RlGfICd6iJl0,Taman Nasional Wakatobi,Kabupaten Wakatobi,Sulawesi Tenggara,,,,"CWPJ+J57, Lentea, Sulawesi Tenggara",,,NO_MATCH
ChIJZXebUXz9vi0RBUM_2viDy1M,Pelabuhan Paotere,Kota Makassar,Sulawesi Selatan,Kota Makassar,Sulawesi Selatan,nan,"Pelabuhan Paotere, Gusung, Kota Makassar, Sulawesi Selatan",,,OK_GEO
ChIJNxwvnvrzuy0RajsHwzXLF2I,Pantai Tanjung Bira,Kabupaten Bulukumba,Sulawesi Selatan,Kabupaten Bulukumba,Sulawesi Selatan,nan,Sulawesi Selatan,,,OK_GEO
ChIJ-1BwjCK-vi0RQSpEAvjsdsQ,Air Terjun Takapala,Kabupaten Gowa,Sulawesi Selatan,Kabupaten Gowa,Sulawesi Selatan,nan,"PVF5+HW, Bonto Lerung, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92174",,,OK_GEO
ChIJ9wzSa8EreTIR0KtoqpUEzCM,Benteng Otanaha,Kota Gorontalo,Gorontalo,Kota Gorontalo,Gorontalo,Kabupaten Gorontalo,"Dembe I, Kec. Kota Bar., Kota Gorontalo, Gorontalo 96181",,,TEXT_WIN
ChIJHURmFD-7lS0R-487EGfExYQ,Taman Mattirotasi,Kota Parepare,Sulawesi Selatan,Kota Parepare,Sulawesi Selatan,nan,"XJHF+Q2X, Jl. Bau Massepe, Labukkang, Kec. Ujung, Kota Parepare, Sulawesi Selatan",,,OK_GEO
ChIJ2coc8PB0hzIR_XoswVHfP9I,Wisata Bahari Seafood Restaurant,Kota Manado,Sulawesi Utara,Kota Manado,Sulawesi Utara,nan,"Bahu Mall Complex, Jl. Wolter Monginsidi No.1, Sulawesi Utara",,,OK_GEO
ChIJ_ecsA-YKhzIR9SpspkYq9lg,Rumah Alam Manado Adventure Park,Kabupaten Minahasa Utara,Sulawesi Utara,Kabupaten Minahasa Utara,Sulawesi Utara,nan,"Jl. Ring Road Jaga IX No.Km, RW.1, Maumbi, Kec. Kalawat, Kabupaten Minahasa Utara, Sulawesi Utara",,,OK_GEO
ChIJPXiOPViPlC0RVJxcSm8OtAQ,Alun Alun Kota Polewali,Kabupaten Polewali Mandar,Sulawesi Barat,Kabupaten Polewali Mandar,Sulawesi Barat,nan,"Pekkabata, Kec. Polewali, Kabupaten Polewali Mandar, Sulawesi Barat 91311",,,OK_GEO
ChIJRXockwjWvi0RY3TZtY8Pst8,Wisata Pantai Topejawa,Kabupaten Takalar,Sulawesi Selatan,Kabupaten Takalar,Sulawesi Selatan,nan,"Topejawa, Kec. Mangarabombang, Kabupaten Takalar, Sulawesi Selatan 92261",,,OK_GEO
ChIJE8ll5iAreTIReO_8uq1fdB4,Masjid Agung Baiturrahim Gorontalo,Kota Gorontalo,Gorontalo,Kota Gorontalo,Gorontalo,Kabupaten Gorontalo,"G3Q6+24X, Jl. Raja Eyato, Limba B, Kota Sel., Kota Gorontalo, Gorontalo 96134",,,TEXT_WIN
ChIJXaadtQjzuy0ROqnQDJJLARY,Titik Nol KM Sulsel,Kabupaten Bulukumba,Sulawesi Selatan,Kabupaten Bulukumba,Sulawesi Selatan,nan,"9FHC+4VM, tanjung, Bira, Kec. Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan",,,OK_GEO
ChIJ1z1jr9Q1eDIRxyv2B3-PTK8,Pantai Pohon Cinta,Kabupaten Pohuwato,Gorontalo,Kabupaten Pohuwato,Gorontalo,nan,"Wisata Pohon Cinta, Pohuwato Tim., Kec. Marisa, Kabupaten Pohuwato, Gorontalo 96266",,,OK_GEO
ChIJgwXQGst2pC0Rkb9zCImxYY8,Benteng Keraton Kesultanan Buton (Negeri Khalifatul Khamis),Kota Baubau,Sulawesi Tenggara,Kota Baubau,Sulawesi Tenggara,nan,"GJG2+4W6, Jl. Labuke, Melai, Kec. Murhum, Kota Bau-Bau, Sulawesi Tenggara 93713",,,OK_GEO
ChIJ-__pe-J0hzIR3SRPfAcReu8,Taman Berkat (GODBLESS PARK) Manado,Kota Manado,Sulawesi Utara,Kota Manado,Sulawesi Utara,nan,"FR8H+WJG, Jl. Piere Tendean, Sario Utara, Kec. Sario, Kota Manado, Sulawesi Utara",,,OK_GEO
ChIJZ129EyKhhi0RyqO6oc6Qu1U,Pantai Kilo 5,Kabupaten Banggai,Sulawesi Tengah,Kabupaten Banggai,Sulawesi Tengah,nan,"Jl. Dr. Moh. Hatta, Bukit Mambual, Kec. Luwuk Selatan, Kabupaten Banggai, Sulawesi Tengah",,,OK_TEXT
ChIJAYOhbKchvy0Re-ZGWcM9fLY,Wisata Pantai Bintang Galesong,Kabupaten Takalar,Sulawesi Selatan,Kabupaten Takalar,Sulawesi Selatan,nan,"Jl. Karaeng Salamaka Kassi Lompo, Boddia, Kec. Galesong, Kabupaten Takalar, Sulawesi Selatan 92255",,,OK_GEO
ChIJif3f8yREhzIRH85zFLlR6So,Bukit Kasih Kanonang,Kabupaten Minahasa,Sulawesi Utara,Kabupaten Minahasa,Sulawesi Utara,nan,"5Q88+49Q, Jl. Kawangkoan-Kanonang, Kanonang Empat, Kec. Kawangkoan Bar., Kabupaten Minahasa, Sulawesi Utara",,,OK_TEXT
ChIJAYhjftAqfzIRQW65iMl5F0A,Kurenai Beach Resort,Kabupaten Bone Bolango,Gorontalo,Kabupaten Bone Bolango,Gorontalo,nan,"Botubarani, Kec. Kabila Bone, Kabupaten Bone Bolango, Gorontalo 96111",,,OK_GEO
ChIJwwQWOaO8lS0RDUoust8-3lw,Paputo Beach,Kota Parepare,Sulawesi Selatan,Kota Parepare,Sulawesi Selatan,nan,"Jl. Latassakka, Lumpue, Kec. Bacukiki Bar., Kota Parepare, Sulawesi Selatan 91123",,,OK_GEO
ChIJ-QCKPkfUfjIRZwOmnMLlA5Q,Danau Perintis,Kabupaten Bone Bolango,Gorontalo,Kabupaten Bone Bolango,Gorontalo,nan,"Huluduotamo, Kec. Suwawa, Kabupaten Bone Bolango, Gorontalo 96121",,,OK_GEO
ChIJL1UINDl0hzIR9KoY982h0n8,Pantai Malalayang,Kota Manado,Sulawesi Utara,Kota Manado,Sulawesi Utara,nan,"Jalan Laut Sulawesi, Malalayang Dua, Kec. Malalayang, Kota Manado, Sulawesi Utara",,,OK_GEO
ChIJdzm5KpztmC0RA4bS-kfx1QY,Kendari Beach,Kota Kendari,Sulawesi Tenggara,Kota Kendari,Sulawesi Tenggara,nan,"Jl. Sultan Hasanuddin No.27, Punggaloba, Kec. Kendari Bar., Kota Kendari, Sulawesi Tenggara 93123",,,OK_GEO
ChIJkbIoicxzhzIRMT6mU2dIxSo,Makatete Hills,Kabupaten Minahasa,Sulawesi Utara,Kabupaten Minahasa,Sulawesi Utara,Kota Manado,"Warembungan, Kec. Pineleng, Kabupaten Minahasa, Sulawesi Utara",,,TEXT_WIN
ChIJ7xd7RSehhi0RWv0T2RpeokA,Pantai Kilo Lima,Kabupaten Banggai,Sulawesi Tengah,Kabupaten Banggai,Sulawesi Tengah,nan,"Jl. Dr. Moh. Hatta No.129, pantai Km5, Kec. Luwuk Selatan, Kabupaten Banggai, Sulawesi Tengah",,,OK_TEXT
ChIJ_f__1mZXvi0RHxs6cHZvrEU,Dermaga I Rammang-Rammang,Kabupaten Maros,Sulawesi Selatan,Kabupaten Maros,Sulawesi Selatan,nan,"3H8X+W37, Salenrang, Kec. Bontoa, Kabupaten Maros, Sulawesi Selatan 90554",,,OK_GEO
ChIJfUgFF0fTlS0RKt6lCc9jIjw,Taman Wisata Puncak Bila Sidrap,Kabupaten Sidenreng Rappang,Sulawesi Selatan,Kabupaten Sidenreng Rappang,Sulawesi Selatan,nan,"Jalan Poros Pare, Bila Riase, Kec. Pitu Riase, Kabupaten Sidenreng Rappang, Sulawesi Selatan 91691",,,OK_GEO
ChIJ_zAZS3e3iy0RJjEZ24sBBqY,Pantai Tanjung Karang,Kabupaten Donggala,Sulawesi Tengah,Kabupaten Donggala,Sulawesi Tengah,nan,"Labuan Bajo, Kec. Banawa, Kabupaten Donggala, Sulawesi Tengah 94351",,,OK_GEO
ChIJS88mueNZvi0RMLB7fmKL6Kk,Dermaga Dua Rammang Rammang,Kabupaten Maros,Sulawesi Selatan,Kabupaten Maros,Sulawesi Selatan,nan,"3JF5+X28, Desa Salendrang, Bontonlempangan, Kec. Bontoa, Kabupaten Maros, Sulawesi Selatan 90554",,,OK_GEO
ChIJwxSKvZR2pC0RIdxNZRz0wqU,pantai kamali,Kota Baubau,Sulawesi Tenggara,Kota Baubau,Sulawesi Tenggara,nan,"Jl. Mayjend. Sutoyo, Wale, Kec. Wolio, Kota Bau-Bau, Sulawesi Tenggara 93717",,,OK_GEO
ChIJq6qqqp7uiy0RknmYlgR32uM,Taman Hutan Kota Palu,Kota Palu,Sulawesi Tengah,Kota Palu,Sulawesi Tengah,nan,"4VJM+7RP, Talise, Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94118",,,OK_TEXT
ChIJsZH6nHiXvi0RUJMr73SVNJM,Sierra Sky View,Kabupaten Gowa,Sulawesi Selatan,Kabupaten Gowa,Sulawesi Selatan,nan,"Jl. Poros Malino, Pattapang, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92111",,,OK_GEO
ChIJracGux4rfzIRL3lNYvB7IG4,Wisata Hiu Paus Botubarani Gorontalo,Kabupaten Bone Bolango,Gorontalo,Kabupaten Bone Bolango,Gorontalo,nan,"Jl. Trans Sulawesi No.18, Botubarani, Kec. Kabila Bone, Kabupaten Bone Bolango, Gorontalo 96117",,,OK_GEO
ChIJFf-XO6XrmC0RuTfQ5etrJvY,Pulau Wisata Bokori,Kabupaten Konawe,Sulawesi Tenggara,Kabupaten Konawe,Sulawesi Tenggara,nan,"Tapulaga, Soropia, Kabupaten Konawe, Sulawesi Tenggara",,,OK_GEO
ChIJg-99MRtmkC0R5OI0qA7YUuc,Pantai Ide,Kabupaten Luwu Timur,Sulawesi Selatan,Kabupaten Luwu Timur,Sulawesi Selatan,nan,"F8MR+VWJ, Magani, Kec. Nuha, Kabupaten Luwu Timur, Sulawesi Selatan 92983",,,OK_GEO
ChIJyXFuaaYdvy0Rhxrc_82jOog,Pantai Biru,Kota Makassar,Sulawesi Selatan,Kota Makassar,Sulawesi Selatan,nan,"Tj. Merdeka, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224",,,OK_GEO
ChIJOcIPkuCIlC0RshPQWNrUZpU,Taman dan Pantai Bahari Polewali,Kabupaten Polewali Mandar,Sulawesi Barat,Kabupaten Polewali Mandar,Sulawesi Barat,nan,"Mammi, Kec. Binuang, Kabupaten Polewali Mandar, Sulawesi Barat",,,OK_GEO
ChIJW89vyWsDvy0RixPxznEw7_U,Samalona island,Kota Makassar,Sulawesi Selatan,Kota Makassar,Sulawesi Selatan,nan,"V8FV+WFM, Lae-Lae, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan",,,OK_TEXT
ChIJz7gM_C2SmC0RuV19EXsGEtc,Kebun Raya Kendari,Kota Kendari,Sulawesi Tenggara,Kota Kendari,Sulawesi Tenggara,nan,"XH2G+QV8, Jalan Kebun Raya Nanga-Nanga, Anduonohu, Kec. Poasia, Kota Kendari, Sulawesi Tenggara 93237",,,OK_GEO
ChIJNcuvJAHfvi0RfzDmrzLzQOA,Kebun Denassa (Denassa Botanical Garden),Kabupaten Gowa,Sulawesi Selatan,Kabupaten Gowa,Sulawesi Selatan,nan,"MC5P+22H, Tamallayang, Kec. Bontonompo, Kabupaten Gowa, Sulawesi Selatan 92153",,,OK_GEO
ChIJr7CULFtwpC0ReRBxv7ie8OI,Pantai Nirwana,Kota Baubau,Sulawesi Tenggara,Kota Baubau,Sulawesi Tenggara,nan,Sulawesi Tenggara,,,OK_GEO
ChIJm63s6Y4Ily0Rmpw8UO_GjVc,Danau Biru Kolaka Utara,Kabupaten Kolaka Utara,Sulawesi Tenggara,Kabupaten Kolaka Utara,Sulawesi Tenggara,nan,"73FV+4RM, Walasiho, Kec. Wawo, Kabupaten Kolaka Utara, Sulawesi Tenggara 93552",,,OK_GEO
ChIJSWaRkqXDky0RoX3_0ANQkQc,Objek Wisata Rante Kalimbuang Bori',Kabupaten Toraja Utara,Sulawesi Selatan,Kabupaten Toraja Utara,Sulawesi Selatan,nan,"3WJC+3RC, Bori, Kec. Sesean, Kabupaten Toraja Utara, Sulawesi Selatan 91853",,,OK_GEO
ChIJcbYwr-zzuy0R0Kz5lCEuPhE,Pantai Tanjung Bira,Kabupaten Bulukumba,Sulawesi Selatan,Kabupaten Bulukumba,Sulawesi Selatan,nan,"9FP4+3P7, Tanjung, Bira, Kec. Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan 95752",,,OK_GEO
ChIJ8cjvaKhfkS0RaKezZVhgDvY,Masjid Jami Tua Palopo,Kota Palopo,Sulawesi Selatan,Kota Palopo,Sulawesi Selatan,nan,"Jl. Andi Djemma No.88, Batupasi, Kec. Wara Utara, Kota Palopo, Sulawesi Selatan 91911",,,OK_GEO
ChIJjeMAfCwThzIRp7ygIFauE4o,Tuur Ma'asering Kumelembuai Tomohon,Kota Tomohon,Sulawesi Utara,Kota Tomohon,Sulawesi Utara,nan,"Kumelembuay, Kec. Tomohon Tim., Kota Tomohon, Sulawesi Utara 95449",,,OK_GEO
ChIJ-TQfUWzUfjIRVAXEvoj9g_E,Benteng Ulanta,Kabupaten Bone Bolango,Gorontalo,Kabupaten Bone Bolango,Gorontalo,nan,"H44V+P7J, Unnamed Road, Ulanta, Kec. Suwawa, Kabupaten Bone Bolango, Gorontalo 96113",,,OK_GEO
ChIJGyNjvc7uiy0R1De_cgC70Eg,Gong Perdamaian,Kota Palu,Sulawesi Tengah,Kota Palu,Sulawesi Tengah,nan,"Jl. Soekarno Hatta, Tondo, Kec. Mantikulore, Kota Palu, Sulawesi Tengah 94119",,,OK_TEXT
ChIJU88CqC9Ovi0RSqU_691g05A,Taman Bambu Runcing,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,nan,"Jl. Cempaka, Padoang Doangan, Kec. Pangkajene, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan 90614",,,OK_GEO
ChIJ8ZmE4C0Ily0Rr6w1SzGT37s,Pantai Tamborasi,Kabupaten Kolaka,Sulawesi Tenggara,Kabupaten Kolaka,Sulawesi Tenggara,nan,"Tamborasi, Kec. Wolo, Kabupaten Kolaka, Sulawesi Tenggara 93552",,,OK_GEO
