nama_wisata,alamat,kabupaten,provinsi,deskripsi_wisata,sumber_deskripsi
Losari Beach Platform,"Maloku, Jl. Penghibur, Losari, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90113, Indonesia",Kota Makassar,Sulawesi Selatan,"Jika belum, ada destinasi wisata menarik yang wajib masuk dalam daftar perjalanan Anda: Losari Beach Platform di Kota Makassar. Destinasi wisata modern ini menawarkan keindahan alam yang memukau dan berbagai aktivitas seru yang tak boleh Anda lewatkan!",https://www.sulawesitoday.com/berita/122508588/destinasi-wisata-losari-beach-platform-menyaksikan-keindahan-lautan-sembari-kulineran-di-makassar
Benteng Rotterdam,"No.Road, Jl. Ujung Pandang, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171, Indonesia",Kota Makassar,Sulawesi Selatan,"Benteng ini awalnya dibangun oleh Kerajaan Gowa pada abad ke-16 sebagai sarana pertahanan dari ancaman musuh, khususnya saat menghadapi serangan dari kerajaan-kerajaan lain maupun penjajah asing.",https://www.indonesia.travel/id/id/travel-ideas/heritage/benteng-rotterdam/
Taman Nasional Bantimurung Bulusaraung,"5RXF+G9H, Bentenge, Sulawesi Selatan, Indonesia",Kabupaten Bone,Sulawesi Selatan,"Sebagai salah satu kawasan konservasi, TN Babul memegang peranan penting dalam mendukung implementasi arah kebijakan dan strategi pembangunan nasional pada Rencana Pembangunan Jangka Menengah Nasional (RPJMN) yang dititikberatkan pada Pembangunan Lingkungan Hidup dan Pengelolaan Bencana. Fokus prioritas pembangunan tersebut diarahkan pada upaya-upaya yang berkaitan dengan konservasi sumber daya hutan dalam mendukung pertumbuhan ekonomi dan kesejahteraan yang berkelanjutan, dan pelaksanaan pembangunan lintas bidang, yaitu terkait mitigasi dan adaptasi perubahan iklim.",https://id.wikipedia.org/wiki/Taman_Nasional_Bantimurung_Bulusaraung
"Pantai Tak Berombak, PTB Maros","Jl. Crisant No.3 /C, Pettuadae, Kec. Turikale, Kabupaten Maros, Sulawesi Selatan 90516, Indonesia",Kabupaten Maros,Sulawesi Selatan,"Kawasan Smart Culiner Pantai Tak Berombak Maros atau lebih dikenal dengan nama PTB Maros adalah sebuah kawasan pusat kuliner di Kabupaten Maros dan telah menjadi tempat wisata kuliner favorit [ 1 ] dan ramai dikunjungi pengunjung pada sore dan malam hari. Lokasi objek wisata kuliner ini berada tepat di Lingkungan Kassi Lama, Kelurahan Pettuadae , Kecamatan Turikale , Kabupaten Maros , Sulawesi Selatan , Indonesia . Pantai Tak Berombak Maros sebenarnya bukanlah sebuah pantai yang menghubungkan secara langsung dengan laut, melainkan sebuah kolam buatan yang berukuran luas yang berada pada pusat...",https://id.wikipedia.org/wiki/Pantai_Tak_Berombak_Maros
Tongkonan Ke'te' Kesu',"Unnamed Road, 2W36+W6Q, Pantanakan Lolo, Kec. Kesu, Kabupaten Toraja Utara, Sulawesi Selatan 91834, Indonesia",Kabupaten Toraja Utara,Sulawesi Selatan,"Kete Kesu (dieja Keʼteʼ Kesuʼ ) adalah suatu desa wisata di kawasan Tana Toraja yang dikenal karena adat dan kehidupan tradisional masyarakat dapat ditemukan di kawasan ini. [ 1 ] Di dalam Kete Kesu terdapat peninggalan purbakala berupa manusia purba yang biasa disebut oky kete kesu yang berasal dari salodong dan mempunyai adik kembar nunang tongkonan. Dilain itu juga terdapat berupa kuburan batu yang diperkirakan berusia 500 tahun lebih. [ 2 ] Di dalam kubur batu yang menyerupai sampan atau perahu tersebut, tersimpan sisa-sisa tengkorak dan tulang manusia. Hampir semua kubur batu diletakkan...",https://id.wikipedia.org/wiki/Ke’te’_Kesu’
Menara Keagungan Limboto,"Jl. Baso Bobihoe No.308, Kayubulan, Kec. Limboto, Kabupaten Gorontalo, Gorontalo 96214, Indonesia",Kabupaten Gorontalo,Gorontalo,"Menara keagungan adalah sebuah menara dengan kontruksi dari baja yang terletak Kota Limboto , Kabupaten Gorontalo , Provinsi Gorontalo . Indonesia . Menara dengan ketinggian 65 yang meter yang menyerupai Menara Eiffel ini menjadi salah satu simbol kota Limboto dan menjadi salah satu tujuan wisata populer di Gorontalo. [ 2 ] [ 3 ] [ 4 ]",https://id.wikipedia.org/wiki/Menara_Keagungan
Taman Pakui Sayang,"Jl. A. P. Pettarani, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia",Kota Makassar,Sulawesi Selatan,Taman Pakui Sayang memiliki area bermain anak yang luas dengan berbagai wahana seru. Adapun wahana yang ada seperti ayunan hingga jungkat-jungkit. Hal tersebut membuat anak-anak dapat bermain dengan bebas dan aman di area ini.,https://www.idntimes.com/travel/destination/tempat-bermain-anak-di-makassar-00-r95nh-h8hcg0
Masjid Raya Makassar,"Gaddong, Jalan Masjid Raya, Bontoala",Kota Makassar,Sulawesi Selatan,"Sulawesi Selatan adalah salah satu provinsi yang ada di pulau Sulawesi, dan memiliki ibukota Makassar. Kota Makassar sendiri merupakan kota yang dihuni oleh penduduk dengan beraneka ragam suku, kepercayaan dan budaya. Karena itu tidak heran kalau di kota ini kamu bisa menemukan rumah ibadah berbagai agama.",https://www.idntimes.com/travel/destination/masjid-raya-makassar-sulawesi-selatan-c1c2-01-zydpl-nybw10
Taman Vatulemo,"Jl. Balai Kota Timur Tanamodindi Mantikulore, Lapangan Vatulomo, Lolu Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111, Indonesia",Kota Palu,Sulawesi Tengah,"Taman Vatulemo merupakan taman kota yang populer di Palu. Selain ditata dengan rapi, banyak aktivitas yang dapat dilakukan di sini.",https://www.tripzilla.id/tempat-wisata-palu/1635
Monumen Cinta Sejati Habibie-Ainun,"XJPC+XR6 Lapangan Andi Makkasau, Jl. Karaeng Burane, Mallusetasi, Ujung, Parepare, South Sulawesi 91111, Indonesia",Kota Parepare,Sulawesi Selatan,"Monumen Cinta Sejati Habibie Ainun merupakan monumen yang terletak di Parepare, Sulawesi Selatan. Monumen Cinta Sejati ini, dibuat untuk mengenang cinta Presiden ketiga Republik Indonesia Bacharuddin Jusuf Habibie kepada istrinya Hasri Ainun Besari , dan untuk menginspirasi warga Parepare. Selain itu Monumen Cinta sejati Ainun Habibie, ini adalah kado Pernikahan untuk Habibie pada hari ulang tahun pernikahannya dengan Ibu Ainun. [ 1 ] Peresmian Monumen Cinta Sejati Habibie-Ainun ini bertepatan dengan peringatan hari ulang tahun pernikahan Habibie dan Ainun yang ke-53. [ 2 ]",https://id.wikipedia.org/wiki/Monumen_Cinta_Sejati_Habibie_Ainun
Pantai Losari,"Jl. Somba OPU No.57, Maloku, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111, Indonesia",Kota Makassar,Sulawesi Selatan,"Pantai Losari membuktikan bahwa pantai kota dapat menjadi ruang publik yang hidup, bukan sekadar obyek wisata alam. Dengan paduan alam, budaya, kuliner, dan kenyamanan fasilitas, Losari terus menjadi magnet wisatawan lokal dan mancanegara.",https://www.msn.com/id-id/gayahidup/other/menikmati-keindahan-wisata-bahari-pantai-losari-makassar-sejarah-aktivitas-dan-daya-tariknya/ar-AA1NwqPh
Tribun Pantai Seruni,"Tribun Pantai Seruni, Jl. Seruni, Pallantikang, Kec. Bantaeng, Kabupaten Bantaeng, Sulawesi Selatan 92411, Indonesia",Kabupaten Bantaeng,Sulawesi Selatan,"Dengan berangkat pagi dan pulang sore, kamu bisa menjelajahi berbagai tempat menarik seperti Air Terjun Bissappu , Museum Balla Lompoa Bantaeng , dan Pantai Seruni.",https://travel.tribunnews.com/destinasi/140650/itinerary-bantaeng-1-hari-dari-jeneponto-bujet-liburan-berdua-rp-240-ribuan
Bugis Waterpark Adventure,"Jl. Raya Baruga No.1, Antang, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90562, Indonesia",Kota Makassar,Sulawesi Selatan,"Makassar tak ubahnya seperti surga bagi para keluarga yang sedang berlibur. Ada Bugis Waterpark Adventure yang juga cocok untuk liburan keluarga. Bugis Waterpark sendiri merupakan waterpark paling besar di Indonesia bagian timur, jadi tak heran apabila tempat ini juga banyak dikunjungi wisatawan dari luar Makassar.",https://www.oyorooms.com/travel-guide/id/wisata-kekinian-makassar/
Taman Kalong Watansoppeng,"MV2P+76Q, Botto, Kec. Lalabata, Kabupaten Soppeng, Sulawesi Selatan 90811, Indonesia",Kabupaten Soppeng,Sulawesi Selatan,Taman Kalong berada di alun-alun kota Soppeng. Taman ini menjadi destinasi wisata yang murah meriah namun menarik untuk dikunjungi.,https://www.detik.com/sulsel/wisata/d-6527369/15-tempat-wisata-di-soppeng-pesona-keindahan-alam-hingga-peninggalan-sejarah
Patung Tuhan Yesus Memberkati,"WV38+WH5, Buntu Burake, Kec. Makale, Kabupaten Tana Toraja, Sulawesi Selatan 91817, Indonesia",Kabupaten Tana Toraja,Sulawesi Selatan,"Patung Yesus Toraja berada di Bukit Buntu Burake, Tana Toraja, Sulawesi Selatan. Dikenal juga dengan nama Patung Yesus Memberkati ini disebut-sebut tertinggi di dunia, mengalahkan patung Yesus di Brasil. Tinggi badan patung 45 meter menghadap Kota Makale dan terbuat dari coran perunggu.",https://travelspromo.com/htm-wisata/patung-yesus-memberkati-toraja/
Pantai Losari,"Pantai Losari, Sulawesi Selatan, Indonesia",Kota Makassar,Sulawesi Selatan,"Mulai dari Pantai Losari , Benteng Fort Rotterdam, hingga Benteng Somba Opu, semuanya menawarkan pengalaman yang khas dan penuh nilai sejarah.",https://www.kompas.com/sulawesi-selatan/read/2025/10/15/143000088/jelajahi-pesona-wisata-makassar.-dari-pantai-losari-hingga
Tugu Zero Point,"FRRQ+7MJ, Jl. Jendral Sudirman, Pinaesaan, Kec. Wenang, Kota Manado, Sulawesi Utara, Indonesia",Kota Manado,Sulawesi Utara,Tugu Zero Point Kota Manado. Museum Perjuangan Rakyat Sulut Kota Manado.Monumen Toar Lumimuut Kota Manado. Taman Berkat (godbless Park) Manado Kota Manado. Golden Kolam Golden Jumbo Kota Manado.,https://www.cedhak.com/sulawesi/390/tugu-zero-point/
Cinta Souvenir Bantimurung,"Kalabbirang, Kec. Bantimurung, Makassar, Sulawesi Selatan 90561, Indonesia",Kota Makassar,Sulawesi Selatan,"Adapun wisata di Maros yang telah populer antara lain Bantimurung dan Rammang-rammang. Namun, masih banyak tempat wisata lainnya yang dapat dikunjungi saat liburan.",https://www.detik.com/sulsel/wisata/d-6252516/15-tempat-wisata-di-maros-kekayaan-alam-yang-memukau-hingga-situs-prasejarah
"Lolai - To' Tombi, Negeri di atas awan","Lolai, Kec. Kapala Pitu, Kabupaten Toraja Utara, Sulawesi Selatan 91854, Indonesia",Kabupaten Toraja Utara,Sulawesi Selatan,"KOMPAS.com - Lolai To Tombi Negeri di Atas Awan terletak di Lembang (Desa) Benteng Mamullu, Kecamatan Kapalapitu, Kabupaten Toraja Utara, Provinsi Sulawesi Selatan.",https://makassar.kompas.com/read/2024/04/15/185341078/lolai-to-tombi-negeri-di-atas-awan-wisata-toraja-daya-tarik-harga-tiket-dan
Pantai Bira Pasir Putih,"9FP5+7F2, Jalan Poros Jl. Pasir Putih Bira, Bira, Kec. Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan 92571, Indonesia",Kabupaten Bulukumba,Sulawesi Selatan,"Pesona kawasan wisata Tanjung Bira telah lama populer di Kabupaten Bulukumba , Sulawesi Selatan (Sulsel). Destinasi ini senantiasa menarik minat kunjungan turis domestik maupun mancanegara dengan sejumlah objek wisata andalan pantai berpasir putih.",https://www.detik.com/sulsel/wisata/d-6062924/7-destinasi-wisata-di-kawasan-tanjung-bira-ada-pantai-pasir-putih-yang-indah
Taman Gor,"4V3C+MW9, Jl. Chairil Anwar, Besusu Tengah, Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94111, Indonesia",Kota Palu,Sulawesi Tengah,"Lokasi yang satu ini tentu sudah familiar dikalangan masyarakat Kota Palu sebagai kawasan public/green space dengan fasilitas olahraga skateboard, basket serta alat olahraga lainnya yang terletak dijalan Moh Hatta Kelurahan Besusu – Kota Palu. Tapi tahukah anda bahwa Taman Gor Palu ini memiliki nilai sejarah yang tinggi dimasa lalu?",https://pariwisata.sultengprov.go.id/data-pariwisata/destinasi-pariwisata/daya-tarik-wisata/dtw-kota-palu/218-sejarah-taman-gor-yang-pernah-dikunjungi-presiden-soekarno-saat-ke-kota-palu.html
Lolai Tongkonan Lempe,"Benteng Mamulu, Kec. Kapala Pitu, Kabupaten Toraja Utara, Sulawesi Selatan 91854, Indonesia",Kabupaten Toraja Utara,Sulawesi Selatan,"KOMPAS.com - Pemandangan alam di Toraja selalu punya magnet untuk menggaet wisatawan, baik dalam negeri maupun mancanegara. Tongkonan Lempe , Negeri di Awan , Lolai di Toraja Utara ini bisa jadi tujuan wisata untuk yang sedang dan ingin berkunjung ke Toraja.",https://travel.kompas.com/read/2021/03/22/070700827/5-aktivitas-wisata-di-tongkonan-lempe-negeri-atas-awan-toraja-utara
Monumen Yesus Memberkati,"CRQX+625, Jl. Monumen Yesus Memberkati, Winangun Satu, Kec. Malalayang, Kota Manado, Sulawesi Utara, Indonesia",Kota Manado,Sulawesi Utara,"Patung Yesus Memberkati menjulang setinggi 50 meter di langit kota Manado dan juga menjadi puncak dari area hunian elit CitraLand Estate. Dibangun dengan serat baja dan besi nan kokoh, patung ini juga tercatat sebagai salah satu patung Tuhan Yesus Kristus tertinggi di dunia dan berdiri sebagai simbol iman dan perdamaian yang teguh.",https://www.luwansamanado.com/id/tempat-tujuan-wisata/monumen-yesus-memberkati/
Wisata Kebun Gowa,"Jl. Malino, Bontomanai, Kabupaten Gowa",Kabupaten Gowa,Sulawesi Selatan,"Wisata Kebun Gowa kini menjadi salah satu lokasi liburan terpopuler di Sulawesi Selatan. Pesona wisata alam berupa perkebunan yang disatukan dengan aneka wahana bermain tentu menjadi daya tarik tersendiri bagi wisatawan. Tidak hanya sekedar berlibur, di Kebun Gowa para wisatawan juga dapat menikmati wisata edukasi. Dengan suasana sejuk berkat pepohonan yang rindang, wisatawan dijamin betah menghabiskan waktu akhir pekan di Kebun Gowa. Lokasi Wisata Kebun Gowa: Jalan Poros Malino, Bontomanai, Kecamatan Bontomarannu, Kabupaten Gowa. Tiket Masuk : Senin - Jumat = Rp. 15.000 Sabtu, Minggu, Raya =...",https://smartcity.gowakab.go.id/wisata_buatan/wisata-kebun-gowa/2
Taman Nasional Bunaken,"Pelabuhan Marina plazaa, Manado City, North Sulawesi, Indonesia",Kota Manado,Sulawesi Utara,"Taman Nasional Bunaken merupakan obyek wisata paling populer di Manado, Sulawesi Utara. Taman nasional laut pertama Indonesia ini diresmikan sejak 1991 dengan luas mencapai sekitar 89.065 hektar.",https://travelspromo.com/htm-wisata/taman-nasional-bunaken-wori-sulawesi-utara/
Taman Kota Kendari,"2GG7+H6G, Mandonga, Kec. Mandonga, Kota Kendari, Sulawesi Tenggara 93111, Indonesia",Kota Kendari,Sulawesi Tenggara,"Taman Kota Kendari merupakan ruang terbuka hijau tempat rekreasi di tengah kota Kendari. Taman yang terletak di depan kantor Wali Kota ini ditetapkan sebagai ikon Kendari. Dengan luas kurang sekitar lima hektar, lokasinya sangat strategis dan mudah dijangkau wisatawan. Tempatnya yang nyaman, indah, dan sejuk menjadi favorit wisatawan terutama kalangan kaum muda.",https://travelspromo.com/htm-wisata/taman-kota-kendari-sulawesi-tenggara/
Malino highlands,"Pattapang, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92171, Indonesia",Kabupaten Gowa,Sulawesi Selatan,"Bangga! Teh Langka dan Terbaik di Dunia Ternyata Ada di Sulawesi Malino, Kabupaten Gowa, Sulawesi Selatan memang terkenal sama wisata air terjun...",https://malinohighlands.com/
Pantai Akkarena,"Pantai Akkarena, Jalan Tanjung Bunga, Tj. Merdeka, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224, Indonesia",Kota Makassar,Sulawesi Selatan,"Pantai Akkarena merupakan destinasi wisata bahari yang berada di pesisir wilayah Tanjung Bunga, Makassar. Nama A kkarena berasal dari bahasa Makassar yang berarti bermain, karena lokasinya menjadi destinasi berlibur.",https://travelspromo.com/htm-wisata/pantai-akkarena-makassar/
Taman Macan,"VC75+P5P, Jl. Sultan Hasanuddin, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171, Indonesia",Kota Makassar,Sulawesi Selatan,"Kawasan ini memiliki hal serupa dengan Lapangan Karebosi. Taman Macan juga kerap ramai dikunjungi oleh masyarakat sekitar yang hendak berolahraga saat pagi dan sore hari. Pepohonan di taman ini pun cukup rindang dan banyak. Keberadaan taman pun tidak hanya digunakan untuk berolahraga. Taman Macan kerap digunakan untuk tempat bermain anak anak, karena ada beberapa fasilitas bermain di sini. Karena itu, tidak jarang orang tua membawa anak-anak mereka seusia balita untuk bermain di sini.",https://www.lamudi.co.id/journal/lima-jogging-track-seru-di-kota-makassar/
Kampoeng Karst Rammang Rammang,"Salenrang, Rammang Rammang, Bontonlempangan, Kec. Bontoa, Kabupaten Maros, Sulawesi Selatan 90561, Indonesia",Kabupaten Maros,Sulawesi Selatan,"Masih menjadi bagian dari Taman Nasional Bantimurung-Bulusaraung (BaBul), Kabupaten Maros, letaknya gak terlalu jauh dari Air Terjun Bantimurung. Kampoeng Karst Rammang-Rammang ini terletak di Desa Salenrang, Kecamatan Bontoa.",https://sulsel.idntimes.com/travel/tips/tak-jauh-dari-makassar-ini-5-tempat-liburan-nyaman-bareng-keluarga-00-g3swn-g3lng1
Lasinrang Park,"Jl. Dr. Wahidin Sudiro Husodo, Jaya, Kec. Watang Sawitto, Kabupaten Pinrang, Sulawesi Selatan 91213, Indonesia",Kabupaten Pinrang,Sulawesi Selatan,"Pengunjung akan dikenakan biaya tiket masuk sekitar Rp 20.000 untuk orang dewasa, Rp 15.000 untuk anak-anak dan biaya parkir mobil sebesar Rp 5.000.",https://www.detik.com/sulsel/wisata/d-6896501/25-rekomendasi-objek-wisata-di-kabupaten-pinrang-untuk-liburan
Tebing Apparalang,"FC6X+XRG, Ara, Kec. Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan, Indonesia",Kabupaten Bulukumba,Sulawesi Selatan,"SulawesiPos.com – Tebing Apparalang menghadirkan pengalaman wisata yang berbeda dengan lanskap tebing curam yang memukau dan laut biru jernih di Bulukumba, Sulawesi Selatan.",https://www.sulawesipos.com/travel/2026/01/30/tebing-apparalang-surga-tersembunyi-di-bulukumba-dengan-pemandangan-tebing-dan-laut-biru-memikat/
Taman Nasional Bantimurung Bulusaraung,"Jln. Poros Maros-Bone Km.12, Kalabbirang, Bantimurung, Kalabbirang, Kec. Bantimurung, Kabupaten Maros, Sulawesi Selatan 90561, Indonesia",Kabupaten Maros,Sulawesi Selatan,"Sebagai salah satu kawasan konservasi, TN Babul memegang peranan penting dalam mendukung implementasi arah kebijakan dan strategi pembangunan nasional pada Rencana Pembangunan Jangka Menengah Nasional (RPJMN) yang dititikberatkan pada Pembangunan Lingkungan Hidup dan Pengelolaan Bencana. Fokus prioritas pembangunan tersebut diarahkan pada upaya-upaya yang berkaitan dengan konservasi sumber daya hutan dalam mendukung pertumbuhan ekonomi dan kesejahteraan yang berkelanjutan, dan pelaksanaan pembangunan lintas bidang, yaitu terkait mitigasi dan adaptasi perubahan iklim.",https://id.wikipedia.org/wiki/Taman_Nasional_Bantimurung_Bulusaraung
Masjid Kubah 99,"Jl. H. Bau No.36, Kunjung Mae, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90125, Indonesia",Kota Makassar,Sulawesi Selatan,"Jika ingin menikmati wisata religi, Masjid 99 Kubah bisa Anda lirik saat berwisata ke Makassar. Seperti namanya, masjid ini memang memiliki 99 kubah yang diilhami oleh Asmaul Husna.",https://www.cnnindonesia.com/gaya-hidup/20220630195515-275-817910/7-rekomendasi-tempat-liburan-keluarga-seru-di-makassar
Taman Musafir,"Padoang Doangan, Kec. Pangkajene, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan 90614, Indonesia",Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,"Taman Musafir adalah tempat nongkrong di pinggir jalan poros Sultan Hasanuddin-Padoang-Doangan Kecamatan Pangkajene, sering dijadikan tempat persinggahan.",https://sulsel.idntimes.com/travel/destination/tempat-wisata-di-pangkep-wajib-dikunjungi-c1c2-01-rw29l-yrg49b
Taman Arkeologi Leang Leang,"2MFF+2M6 Ktr. Kelurahan Leang Leang, Leang-Leang, Kec. Bantimurung, Kabupaten Maros, Sulawesi Selatan 90561, Indonesia",Kabupaten Maros,Sulawesi Selatan,"Saat ini, Taman Arkeologi Leang-Leang berada di bawah pengelolaan Museum dan Cagar Budaya , Kementerian Kebudayaan Republik Indonesia",https://id.wikipedia.org/wiki/Taman_Arkeologi_Leang-Leang
Tonrangeng Riverside,"XJ3G+292, Lumpue, Kec. Bacukiki Bar., Kota Parepare, Sulawesi Selatan 91123, Indonesia",Kota Parepare,Sulawesi Selatan,"Dilansir dari laman resmi Direktori Pariwisata Kementerian Pariwisata dan Ekonomi Kreatif, Pantai Tonrangeng merupakan pantai pasir putih yang berlokasi di Kelurahan Lumpue, Kecamatan Bacukiki Barat, Kota Parepare.",https://www.detik.com/sulsel/wisata/d-6594141/23-objek-wisata-di-parepare-mulai-pesona-alam-hingga-situs-sejarah
Taman Wisata Alam Lejja,"Jl. Poros Lejja, Bulue, Kec. Marioriawa, Kabupaten Soppeng, Sulawesi Selatan 90852, Indonesia",Kabupaten Soppeng,Sulawesi Selatan,"Taman Wisata Alam (TWA) Lejja merupakan pemandian air panas yang terletak di Kabupaten Soppeng , Sulawesi Selatan (Sulsel). Sumber air panas Lejja ini berasal dari gunung api yang kini sudah tidak aktif.",https://www.detik.com/sulsel/wisata/d-6688125/pemandian-air-panas-lejja-soppeng-sejarah-spot-wisata-hingga-harga-tiket
Space iklan 5x10. Anjungan Pantai Manakarra,"Anjungan Pantai Manakarra, Jl. Yos Sudarso, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511, Indonesia",Kabupaten Mamuju,Sulawesi Barat,"Adding a shed to your outdoor space is a fantastic way to expand your storage capacity, but just what can you fit in a 8x10 shed? From our experience at Homestead Supplier, you'd be surprised at how much you can store if you organize it right.",https://homesteadsupplier.com/blogs/news/what-can-you-fit-in-a-8x10-shed
Pantai Paal,"Pantai Paal, Kec. Likupang Tim., Kabupaten Minahasa Utara, Sulawesi Utara, Indonesia",Kabupaten Minahasa Utara,Sulawesi Utara,"Kalau sedang mencari destinasi wisata dengan panorama laut biru jernih, pasir putih lembut, dan suasana tenang jauh dari keramaian, Pantai Paal Likupang bisa jadi pilihan.",https://www.trac.astra.co.id/blog/travel/pesona-pantai-paal-likupang-surga-di-ujung-sulawesi/1445
Masjid Al Markaz Al Islami Maros,"XHMF+J7C, Desa Jalan Butta Toa, Pettuadae",Kabupaten Maros,Sulawesi Selatan,"Masjid Al-Markaz Al-Islami ( bahasa Arab : [ مسجد المركز الإسلامي ] Galat: { {Lang}}: text has italic markup ( bantuan ) , atau lebih dikenal dengan Masjid Al-Markaz Maros ( bahasa Arab : [ مسجد المركز ماروس ] Galat: { {Lang}}: text has italic markup ( bantuan ) adalah sebuah kompleks masjid bersejarah yang berada di Kabupaten Maros , Provinsi Sulawesi Selatan , Indonesia . Masjid ini awalnya dibangun pada tahun 2003 , atas perintah serta atas biaya dari Bupati Maros untuk umat Muslim setempat, [ 2 ] [ 2 ] yang kemudian diresmikan pada tanggal 12 April 2006 . [ 1 ] [ 2 ]",https://id.wikipedia.org/wiki/Masjid_Al-Markaz_Al-lslami_Maros
Museum Balla Lompoa,"Jl. K. H. Wahid Hasyim No.39, Sungguminasa, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92111, Indonesia",Kabupaten Gowa,Sulawesi Selatan,"Museum Ballaʼ Lompoa atau Ballaʼ Lompoa ri Sungguminasa adalah sebuah museum yang terletak di Jalan Wahid Hasyim, [ 1 ] Kelurahan Sungguminasa . Museum ini didirikan pada tanggal 11 Desember 1973. Ballaʼ Lompoa merupakan arsitek rumah etnis Makassar dapat diartikan rumah besar dalam bahasa Makassar atau istana bagi raja-raja dari Kerajaan Gowa . Museum ini dibangun di areal seluas 7663 m 2 tahun 1936 di masa Raja Gowa ke-XXXV. Luas bangunan kayu 1144 m 2 . Bangunan ini terbuat dari bahan kayu jati bercorak arsitektur tradisional Makassar. Ada juga terdapat teknik modern di beberapa bagian...",https://id.wikipedia.org/wiki/Museum_Ballaʼ_Lompoa
Londa Ancient Graveyard,"Lembang Sangbua, XVPG+483, Kesu, Tadongkon, Kec. Kesu, Kabupaten Toraja Utara, Sulawesi Selatan 91852, Indonesia",Kabupaten Toraja Utara,Sulawesi Selatan,"Londa Toraja merupakan kompleks pemakaman yang kini menjadi salah satu destinasi wisata di Kabupaten Toraja Utara , Sulawesi Selatan (Sulsel). Meskipun memberikan kesan horor, wisata pemakaman gua alam Londa Toraja ini menjadi salah satu destinasi favorit wisatawan yang datang ke Toraja Utara.",https://www.detik.com/sulsel/wisata/d-6389154/mengenal-kuburan-londa-toraja-yang-menyimpan-kisah-tragis-romeo-dan-juliet
Taman Nasional Wakatobi,"CWPJ+J57, Lentea, Sulawesi Tenggara, Indonesia",Kabupaten Wakatobi,Sulawesi Tenggara,Taman Nasional Wakatobi terletak di mana? Wakatobi merupakan gugusan kepulauan yang terletak di Provinsi Sulawesi Tenggara.,https://www.wonderverseindonesia.com/id/article/travel/taman-nasional-wakatobi
Pelabuhan Paotere,"Pelabuhan Paotere, Gusung, Kota Makassar, Sulawesi Selatan, Indonesia",Kota Makassar,Sulawesi Selatan,"SulawesiPos.com – Di pesisir utara Kota Makassar, tepatnya di Kecamatan Ujung Tanah, berdiri satu kawasan yang bukan sekadar pelabuhan.",https://www.sulawesipos.com/travel/2026/02/28/mengenal-pelabuhan-poetere-sejarah-maritim-makassar-yang-tetap-hidup-hingga-kini/
Pantai Tanjung Bira,"Pantai Tj. Bira, Sulawesi Selatan, Indonesia",Kabupaten Bulukumba,Sulawesi Selatan,"Makassar, IDN Times - Tanjung Bira merupakan sebuah surga tersembunyi di ujung selatan-timur Provinsi Sulawesi Selatan . Kawasan itu terletak di Desa Bira, Kecamatan Bonto Bahari, Kabupaten Bulukumba.",https://sulsel.idntimes.com/travel/destination/12-destinasi-wisata-di-tanjung-bira-primadona-di-selatan-sulawesi-00-lm183-qtj25r
Air Terjun Takapala,"PVF5+HW, Bonto Lerung, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92174, Indonesia",Kabupaten Gowa,Sulawesi Selatan,"Air terjun Takapala yang berada di Kampung Takapala, Desa Bontolerung, Kecamatan Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan. Di sela-sela perbukitan daratan tinggi dan rerimbunan hutan, Air Terjun Takapala terbilang indah dan cukup megah. Karena selain pemandangan disekitarnya yang segar alami, Air Terjun Takapala memiliki tinggi sekitar 109 meter dengan debit air yang cukup besar. Dengan ketinggian tersebut, di bagian dasar air terjun terbentuk kabut sejauh 20 Meter. Tak jarang Anda bisa melihat pelangi di bagian dasar air terjun. Saking tinggi dan terbuka areal wisata ini, air yang...",https://smartcity.gowakab.go.id/wisata_alam/air-terjun-takapala/1
