nama_wisata,alamat,rating,jumlah_review,kategori,image,lat,long,place_id,kabupaten,provinsi
Tebingkai,"M7GR+HH8, Jl. Bukit Trikora, Tompudau, Tinangkung, Kabupaten Banggai Kepulauan, Sulawesi Tengah 94885, Indonesia",5.0,9,Wisata Kota / Landmark,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEHzYy_xIghEJeBEevVz3RS4p7ATDh0pDiJvJZMrp_N-OH7tIfbEFdgh0UOh49X0seZjzYmd1ef-814ZDPOzJzWMp2x7fGyxospOJOgAgeKe652YFDTFMHyhaTta1f0M1FHy0FE05MIuJjABSnDk-Ed9w57atXZQewo53mNiKw7OvyLAwVaf8xTzw8tZdUWqHQfMCnMYgEjg2EtgFrBF0P0cfMgKGBGdaXJllGe-mzO1rFd_LerIqSj9e2AMVq0ZgfY2wdVoVV5mZ6aEybjoYbz3JWQnGRNr-MkBWIyOe2_FtHMN0oNgY0AzNvd6ai1EG0IxYOEZ2Vwsooi2pxj43i4SuLYi1Ng3ya92U7O5cf81mIayPM2qRgsDrTX31gCfYK6gHk5kMu-UJQrT1_FA9NqZh1eJybQq0ASSsUHQ27-3yA&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-1.3235863,123.2914646,ChIJwas1fHOTgy0RkIeapl9tmpM,Kabupaten Banggai Kepulauan,Sulawesi Tengah
Pantai Desa Bahari,"8P97+W4, Bahari, Kabupaten Buton, Sulawesi Tenggara, Indonesia",5.0,9,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEHHrR5zSABjMrS8HJ0I6tUHIfuzkbrD15vf88hAOM_xenAZN8qfSQcRXYnlGj9WWYdk2HX1I6yS5JBK6vQ_X7vHvuxU8gJnaLwOzzkbdY8JoexCDKLiqkaay9WvaHSUcP6GCB1wctj5688Z2bvxnMr-VzqKHJiMx_s99iVtoZuchUQglqQw9mrORZ1ZtMeLHMS9a9H5DeopatJ2IVCKFmMw91eYwukl27IHSfzPl6jbDEDH9afPcdaIb-H4DnxjgEH83ulLqBVxc7XueLNo82vyGDaRny4JpMrMpbAe3XTcOBPpQ6jiqqR4fbX6fZFtCHotLt2S1RP6sms72dtZLsRnlVp-25ULCdSlrKfNsRnLb5Va3KlGGXfH7ldlUOLP1Mwero6GD42P26B59nohanUTxDtpsnb4YoOhCwWryyo&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.6801622,122.7127792,ChIJhZyP1w1rpC0RdHoCZ5fpNv4,Kabupaten Buton,Sulawesi Tenggara
Permandian Lowi Malo,"7W8P+M44, Taubonto, Kec. Rarowatu, Kabupaten Bombana, Sulawesi Tenggara, Indonesia",5.0,9,Wisata Kota / Landmark,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEHRmtvV2gHQ7Tq7jT-VMT4JTEU6YiyP-HQiYQ_3krFMPjF6lF8LAxTuhxVIzm6WCB1HyTtC4ytMlyPjbblgSkNsyI81oybqLrpiIIayS1_nEU7XsYXhBeHJDjNUz6hyKKxJabeK112aIDDYbEKve9yuVmmMvbRtxPVVj2dXh3yGUaYBGst5BHoBK3sX8m51krp3HOKDvVVT6ZYJ-tKWO2j9GtSkcPJY7tMSN-e6dl5SerDp2HTAPqpVmbbL1MVKeWhjP0sLdSVZ22uVni9uENiP-1vJiNX8O_3wRN4xqtHpwFNeuvdDvKmuPe3YpBwf0W4HXHnZOJGt6HREFdElLVGv_fXTTbGHcxZoADYXI9k1VRMICGPxMxX84F80znY53SCLfeRlEJnpth66jnDBs4ZU9EtCAbbV21lpdtCk2LEZs_0g&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-4.733362500000001,121.9353281,ChIJlS0AIgDdoi0RAS8Ts-578Bc,Kabupaten Bombana,Sulawesi Tenggara
PANTAI LA DADO,"P73G+JC, Balobone, Kec. Mawasangka, Kabupaten Buton, Sulawesi Tenggara, Indonesia",5.0,9,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEE0ho821fBy_HRbnTjkIqVTiSgEnXmU4OYOAFX69OcOug6qpJmXJm72DUE99dGDUuAooRU9UvkZNilKpvyryObxf81uAj78xV_BILBlYLqx4kf-yOdFXzRPlaikoeMz-_TiX50sFbmAqfoXFnWPeAHPs5gX4RlpwAvfg7BCt-fU8rNW45w0LFCR3gDfwUcXDd6l8RXR8z2CJu6W2jsAFWHGMWeXODOq6shy8g_Qe-w2iDje5_FNDj2pIUowprpILG8-H6tdKPQwyOxRMt9K3zyr18uz3aXMFfu0480CVg5hLo7oaY0chVOzHwNLQ5SkDFzXYwVu2VbwibEJudkyHm5FZJvwEBDwzsYG9rGxfLpcBUulb4uPT1VePC_MVNAmnKBC8AYbUv-z6vw9ncCPLf9icHcC9VaS0iCa72pwJp17Ruo&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.295913,122.276091,ChIJ89-sF415oy0RhRYRGHQxlBM,Kabupaten Buton,Sulawesi Tenggara
Pantai Palahidu,"4265+C3G, Palahidu, Binongko, Kabupaten Wakatobi, Sulawesi Tenggara, Indonesia",5.0,9,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEFLiHlf-RRRRToS0we6iQtatO8Lc3RiC5GxDf_XJiOsvNajoaT5oBnVmDp1dfOr8dMrIOVmwnRicfcmqxKhKnnBN4RSuOSPxilme2Ad8gpuXX1HpvChIoXgpVl-Nd85xH6CJEFqY7YnYBHDNpW8JSfZEufTdbO6xI_wed3DfB2PUarU6zdObZYyPLqjKGU7Wk1WY1iBGeTxla3DcrQZu49gKtfFvEznkYj4k9_c1--2y026U5xcjZp7iJMnVAkb1jcdIwuOvqjvS4wwZpr8m0rsHboCe0i9huKNufOFQDHUMvvoR0Mi8364OmCDLtkKfrzVAqWgrWUAun2L6r8s2R5_fEuDNKL4eNEEM86nuYOsD8_JDF4vn6nVwfr9htHiqQLrYn3CU1pJh6Hh9WrZpFWeXKWwDPhOsuinRMcnlIMSsB8&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.8889281,124.0077174,ChIJCUI9YKsJpy0R6ND0UsmVcWM,Kabupaten Wakatobi,Sulawesi Tenggara
Bukit tinggi TARANGGADING,"9R6G+Q2, Rangas, Kec. Simboro Dan Kepulauan, Kabupaten Mamuju, Sulawesi Barat, Indonesia",5.0,9,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEFkmf2OqkONFOgqJ5b0JJw1dO8K2c-J6TJymokqv-ypRjoUgu3Bymdk0WgqWHzlDTRuTc_5w1Nqu09fPLBDJ4c6gnmd3XHh0t-8uoKXSgovjepMQpX-C_yoPkszDKGOmWoUvNMCDYS2KC3azSU7KynxHJ1QUH6FVvqredspKERQbvxYorqdfrwxlCeJk8D7-XrdXnzpkOdv1PJt1bsBf217ayIgv1iN_P8XZG8wqzMhuJGTMM7MXdricwjkPh78QC8kFyYiuE7OW9AuNy_uel8lUrt_zgQZD-Wt_F0pie9dooPXHKscwBCGNBTe6JSTPxjjKut_tp0Vhu7g0scAkEqnJQGj26Xi_xxZ9rieMAsccpIUd99oy8OAZzE9p2vGawthINfHlWshs3RorzfvsI02_Me1b25R_juiH0nCspm9S4ieLwgsgjujcv_K5aoo&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-2.6380885,118.8250009,ChIJ03nDOgDRki0Rm6sCN5vyvvc,Kabupaten Mamuju,Sulawesi Barat
Karampuang Island,"9V8H+9J7, Unnamed Road, Pulau, Karampuang",5.0,9,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEGIgh78W8qSTqetAD1MiewdFb7AavPy0ChTAomQX_DQ-qMdAaKVwwwl3Mj2JlVufqFiZZalvPbZ1CLyhWWidGRyd4QXUy4kMCT1BcgnPzU2sFpdZWmAJUdEXzxZOXkneY2EWqU1NHz8aAsXk3mq7c78sQfeHtuYVFpIjaHm_WM9-eOCDsqeKXULnDq-aWGfCb-Xi1CDjw_DOGZ8OOkCDecm-5tWzZo9-fxKoFq_R6PD4Kg_3SzJfWi4dMZwLoPRM87twjoeEKLxD3Lk_XRy8cSwgu3aFOmcLrUdO8KcnrBQyZcnvzhik0uslF4PhID7W4KkuXPTo8aMX7lEhdHXk-1fR6by78mSsHWbMynZzRXbp2jCx-41umkHIldPdt994kpfoNHsBnxfIihz_q8uFpi11akMwdLV7mVekL50ICWelD22lq8ttHBpeGTjnxEQVd4LFN6ZuJtEX79-9AfinPVPSfU2aer_6-ZV_Wumg76yRVG8vft7o5ia0h6gAqwQ3t4h8xhUnUTeThiqaSkQcwnvwgrGRxH4_MNQ4ozdKnHfQQRHUIPNLojxsBiLHdZ99P88P9Sp5c1j-Hr1CA0wMzFKF8L3aJ7KVuCuIFo6SuUMkRyepbrLjO7S5unuDBbw&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-2.6340865,118.8790585,ChIJW9AIfWLbki0RrW_paR22KlQ,Kabupaten Sinjai,Sulawesi Selatan
Bukit Layang,"G3F4+3GR, Tenda, Kec. Hulonthalangi, Kabupaten Gorontalo, Gorontalo 96133, Indonesia",5.0,9,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEElxJcCu4YxbHjxw5_4mN2KFt9H5CdftLFnr707dVIrHu73fesLebP71wN0rFqrECazaclH9J1rm7uNOrosgFZeO6RRp93x00fj9OS7l9DXYAzaUplllNixdDnavSN_8k7sZTYzVfrcaskFpEBioStlEP2rdBfZuQp6T605VJk1sbpdgHM7D9a5EMQor8PhIBn_Aq0JxBvTrLM6SL3EQgnO8-YUSG-YUUkoLxasyhTRDc_oOUj5m2MMpagL_7Lvvx02rxEFqgPP9k8z7GcGSfm2wP9AzJ5hxYg_o2MvSXYtuBvuLnAiee5xNSlH_Njk3JEz_jQUjn8tFDY7PiloBD8OVd9flNdQ6IhvD1iES_-JcqN3RclbSz2rL1SwjOLDH_8Ny-85l8-ozMAwwzoEVQ76K3kMtdlgJUf_5Yvb-4GpX0q4&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,0.5227379,123.0562644,ChIJufdzPLIreTIRWyMNphhJdN4,Kabupaten Gorontalo,Gorontalo
Air Terjun Milango Lo Jini,"J49P+75, Lonuo, Kec. Tilongkabila, Kabupaten Bone Bolango, Gorontalo, Indonesia",5.0,9,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEFWgR4ATZyxxnmtAHPWDXTUG4j0Ib4xXPcO7mehylH4BuM2FTbOFbnMBUM5phpd3-ZUUdA64OiTm9gj1u4Gjuv7mY6uLbIF8r7t2aV6hNyPQW22CYxfek75IQx5Ae9ZYiT6Djzorw8nFlT5m7zu6_n9bm3nxixqf9kKUD_nVnMRrQ8jcwFnAyAkUWUQ66Twzkl7BCOyn68-Lb5aXXFKpEAFGsu_O8tKEH19SLoq6RM6DFJa0b6jo346nMN9l-vFWqRFGQnwFzwHWw_SDWOQx4EB5_l8Wco-bIhmVtA8O4EdNvAJ8sdKnlC3-jT8uXTCVU5pVqwSfoNW8HXzCtKxAxmzNRBzAbeN1IIW8LWok_0YyFvPq1-zrvVeBrcUY169PdCs1i1xZThIPmkLTOsBTf8X--JgkelGLThIKsaNn0wG61I-FZXR8wVEi0w8igRw&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,0.6181875,123.1354375,ChIJFUtmBgDTfjIRjVJwNUbiL7s,Kabupaten Bone Bolango,Gorontalo
Wisata Kapal Pinisi Makassar,"VC44+FR7 Sewa Kapal Pinisi, Maloku, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111, Indonesia",4.9,9,Wisata Kota / Landmark,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEHM1rHT1sHXSA6hTlZhKMTkNvTuznUome-FWjSZbkIwzNX8G-avHCBFoGw9sO8mUVUKNNApKy4EBpLf2dq4I4mEipcIU90ji-pEyzEykx1BP1At5En-vVB1xkU4aRXaTMC92EigIpHgnjWGWtxTnGRC5Ynx-BjlYn5flYWk3_99c2tRxZtU7oaudJvAj6Wga6xnI1FUdijMVh42OYIxz5P91uEg3rvklMwNGZH4R-mhOQfDRknjVWhLD4Rcxv5HpYTBLvUfEtoQutdRrn1VHH6twvJa-9Vqbei9NCTmj7H-EQZzkigiY8bQ9QfqpJrtdL_2_C_KALyOcO3R1FO2wzHk5eE-HSTa9PIYk9DjUmts_dxr_-GpjT8u1qvr4weCOWGAtxEiOwGztCWFA-alYxynH-jSkEXoZZulViqJJX25vakt9LXTNbg_hN1BnCV1&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.143848600000001,119.4070436,ChIJGXdQDQAdvy0Rbb-QYW8yZ0c,Kota Makassar,Sulawesi Selatan
Istana KARST,"3JM2+V2F, Bontonlempangan, Kabupaten Maros",4.9,9,Wisata Budaya & Sejarah,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEE7xSj8TVQ2F-YlylinVNnDGsVoN7SSyvH4hSYBZTYhNJCPJdr6MmovSD1FlmUcWugpzmz1OPo-KPjCt_HNPzXV5E18Q9cjdBtGZr2UzGd2p5awsb6dMFQruIQ5VmJkCQ12agfHEBv6TNzBqkwSRg9j8nQS2e7q49etVNJZD-cv5zqMReDYQm5gdPSzQc69mrv8ccPumdtxpQZUGLPPY2P85OOfsfKzl9uneZdMuz-5l4Lu5GnUqnM-Yb1m_kfg_KbPJ-cjedIyb_p8pSdX4-1-NzlwS9c5CXGx6LXyxqgpso8rAXIg-gDCGfmTcJQCGzZMogPurgxQTbJv-6Xaa22yUitTHnD2or7-sOjdX--CQEDscNVUcY0nhPqD_UhmSfl_ibdPkhgXsqZtTGjx94oWicaru0NyPoBsqZ_e7P6hj2qy95tuI3rqYGT-os8JrgNnCWWU-JOBq85brkxS1Y3P10jBHmtOvPOO6T3bl6GogzCUphUjQBHRzXzHo8tAJH3iKFnAxFjUEpXft9cE_6YBAdF91b3xwEIWGQ6AcL_19Xah3hxcAI8GyP_lL56PFkkCouVryYeD5yR0MM4EVvgKqq_UQA&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-4.9145046,119.6005533,ChIJo_TheABXvi0RaxmukORzaEw,Kabupaten Maros,Sulawesi Selatan
