place_id,nama_wisata,alamat,lat,long,kabupaten,provinsi
ChIJ-c5v3ezzuy0R2sia802Iu8U,Pantai Bira Pasir Putih,"9FP5+7F2, Jalan Poros Jl. Pasir Putih Bira, Bira, Kec. Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan 92571, Indonesia",-5.615140299999999,120.4574201,Kabupaten Bulukumba,Sulawesi Selatan
ChIJN1blDtvtiy0R_CxnmF5s5Kg,Taman Gor,"4V3C+MW9, Jl. Chairil Anwar, Besusu Tengah, Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94111, Indonesia",-0.8958370999999999,119.8723469,Kota Palu,Sulawesi Tengah
ChIJJ7bA85XBky0R7ZS3wepAzr4,Lolai Tongkonan Lempe,"Benteng Mamulu, Kec. Kapala Pitu, Kabupaten Toraja Utara, Sulawesi Selatan 91854, Indonesia",-2.9463286,119.8583168,Kabupaten Tana Toraja,Sulawesi Selatan
ChIJu4VVoVhzhzIR9sxb_RpwM5A,Monumen Yesus Memberkati,"CRQX+625, Jl. Monumen Yesus Memberkati, Winangun Satu, Kec. Malalayang, Kota Manado, Sulawesi Utara, Indonesia",1.4380192,124.8476132,Kota Manado,Sulawesi Utara
ChIJ8ee55MXmvi0RPbaA-1L_kfc,Wisata Kebun Gowa,"Jl. Malino, Bontomanai, Kabupaten Gowa",-5.2344133,119.5230819,Kota Makassar,Sulawesi Selatan
ChIJP4SACNtzeC0R9-9j9p70bWA,Taman Nasional Bunaken,"Pelabuhan Marina plazaa, Manado City, North Sulawesi, Indonesia",1.6193013,124.766174,Kota Manado,Sulawesi Utara
ChIJn4UlXcDymC0RDFC5iWg12jw,Taman Kota Kendari,"2GG7+H6G, Mandonga, Kec. Mandonga, Kota Kendari, Sulawesi Tenggara 93111, Indonesia",-3.9735717,122.5130832,Kota Kendari,Sulawesi Tenggara
ChIJq6qqqj6Wvi0RN94047LvmYg,Malino highlands,"Pattapang, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92171, Indonesia",-5.2439481,119.9034238,Kabupaten Gowa,Sulawesi Selatan
ChIJP226Qg4dvy0RqS_VJ43qKEk,Pantai Akkarena,"Pantai Akkarena, Jalan Tanjung Bunga, Tj. Merdeka, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224, Indonesia",-5.1719175,119.3886864,Kota Makassar,Sulawesi Selatan
ChIJMa1AS64Cvy0Ru_ssSD8Thig,Taman Macan,"VC75+P5P, Jl. Sultan Hasanuddin, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171, Indonesia",-5.1356647,119.4079565,Kota Makassar,Sulawesi Selatan
ChIJreCviONZvi0RioW0jGuSkDU,Kampoeng Karst Rammang Rammang,"Salenrang, Rammang Rammang, Bontonlempangan, Kec. Bontoa, Kabupaten Maros, Sulawesi Selatan 90561, Indonesia",-4.915343399999999,119.6123724,Kabupaten Maros,Sulawesi Selatan
ChIJ0XvYFv5MlC0RHSd-0TiamS4,Lasinrang Park,"Jl. Dr. Wahidin Sudiro Husodo, Jaya, Kec. Watang Sawitto, Kabupaten Pinrang, Sulawesi Selatan 91213, Indonesia",-3.7914168,119.6505235,Kabupaten Pinrang,Sulawesi Selatan
ChIJv_2QIT30uy0RriiX8ght_7U,Tebing Apparalang,"FC6X+XRG, Ara, Kec. Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan, Indonesia",-5.5375672,120.4495834,Kabupaten Bulukumba,Sulawesi Selatan
ChIJzUqjdF_2vi0R1ptg8CvLDzk,Taman Nasional Bantimurung Bulusaraung,"Jln. Poros Maros-Bone Km.12, Kalabbirang, Bantimurung, Kalabbirang, Kec. Bantimurung, Kabupaten Maros, Sulawesi Selatan 90561, Indonesia",-5.0162561,119.6815737,Kabupaten Maros,Sulawesi Selatan
ChIJeU_Sak0dvy0R_qmG80UtmJ8,Masjid Kubah 99,"Jl. H. Bau No.36, Kunjung Mae, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90125, Indonesia",-5.1438118,119.4039966,Kota Makassar,Sulawesi Selatan
ChIJLQWTYilOvi0RBLtq01mDiSs,Taman Musafir,"Padoang Doangan, Kec. Pangkajene, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan 90614, Indonesia",-4.838965099999999,119.5512868,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan
ChIJfb6H9KFYvi0RsCvI4hZz9aw,Taman Arkeologi Leang Leang,"2MFF+2M6 Ktr. Kelurahan Leang Leang, Leang-Leang, Kec. Bantimurung, Kabupaten Maros, Sulawesi Selatan 90561, Indonesia",-4.9782003,119.6743606,Kabupaten Maros,Sulawesi Selatan
ChIJuVDWk6K8lS0RDwcHlQKt0VY,Tonrangeng Riverside,"XJ3G+292, Lumpue, Kec. Bacukiki Bar., Kota Parepare, Sulawesi Selatan 91123, Indonesia",-4.0474996,119.6259005,Kota Parepare,Sulawesi Selatan
ChIJ5wCm0jLrlS0RhWiqacsMd6Y,Taman Wisata Alam Lejja,"Jl. Poros Lejja, Bulue, Kec. Marioriawa, Kabupaten Soppeng, Sulawesi Selatan 90852, Indonesia",-4.1510583,119.7872872,Kabupaten Barru,Sulawesi Selatan
ChIJjTBq2rDZki0RGax81Kex6L8,Space iklan 5x10. Anjungan Pantai Manakarra,"Anjungan Pantai Manakarra, Jl. Yos Sudarso, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511, Indonesia",-2.6716032,118.8889317,Kabupaten Mamuju,Sulawesi Barat
ChIJ_____7-xhzIRgVGx3pjh_cY,Pantai Paal,"Pantai Paal, Kec. Likupang Tim., Kabupaten Minahasa Utara, Sulawesi Utara, Indonesia",1.6515069,125.1618811,Kabupaten Minahasa Utara,Sulawesi Utara
ChIJkZzkXEn4vi0RGkOZYfalLTQ,Masjid Al Markaz Al Islami Maros,"XHMF+J7C, Desa Jalan Butta Toa, Pettuadae",-5.015125299999999,119.5724088,Kabupaten Maros,Sulawesi Selatan
ChIJUyYblCXivi0R3hCr1lbjR1s,Museum Balla Lompoa,"Jl. K. H. Wahid Hasyim No.39, Sungguminasa, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92111, Indonesia",-5.207081,119.4526515,Kota Makassar,Sulawesi Selatan
ChIJy9LFmt7rky0RU-2zFqy9ZqE,Londa Ancient Graveyard,"Lembang Sangbua, XVPG+483, Kesu, Tadongkon, Kec. Kesu, Kabupaten Toraja Utara, Sulawesi Selatan 91852, Indonesia",-3.0147457,119.8758034,Kabupaten Tana Toraja,Sulawesi Selatan
ChIJt92KUDIEpy0RlGfICd6iJl0,Taman Nasional Wakatobi,"CWPJ+J57, Lentea, Sulawesi Tenggara, Indonesia",-5.5634736,123.9304254,Kabupaten Wakatobi,Sulawesi Tenggara
ChIJZXebUXz9vi0RBUM_2viDy1M,Pelabuhan Paotere,"Pelabuhan Paotere, Gusung, Kota Makassar, Sulawesi Selatan, Indonesia",-5.1117419,119.4215455,Kota Makassar,Sulawesi Selatan
ChIJNxwvnvrzuy0RajsHwzXLF2I,Pantai Tanjung Bira,"Pantai Tj. Bira, Sulawesi Selatan, Indonesia",-5.6091375,120.4498131,Kabupaten Bulukumba,Sulawesi Selatan
ChIJ-1BwjCK-vi0RQSpEAvjsdsQ,Air Terjun Takapala,"PVF5+HW, Bonto Lerung, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92174, Indonesia",-5.274659199999999,119.8569436,Kabupaten Gowa,Sulawesi Selatan
ChIJ9wzSa8EreTIR0KtoqpUEzCM,Benteng Otanaha,"Dembe I, Kec. Kota Bar., Kota Gorontalo, Gorontalo 96181, Indonesia",0.5482328,123.0084128,Kota Gorontalo,Gorontalo
ChIJHURmFD-7lS0R-487EGfExYQ,Taman Mattirotasi,"XJHF+Q2X, Jl. Bau Massepe, Labukkang, Kec. Ujung, Kota Parepare, Sulawesi Selatan, Indonesia",-4.0205145,119.6226191,Kota Parepare,Sulawesi Selatan
ChIJ2coc8PB0hzIR_XoswVHfP9I,Wisata Bahari Seafood Restaurant,"Bahu Mall Complex, Jl. Wolter Monginsidi No.1, Sulawesi Utara, Indonesia",1.4640254,124.825941,Kota Manado,Sulawesi Utara
ChIJ_ecsA-YKhzIR9SpspkYq9lg,Rumah Alam Manado Adventure Park,"Jl. Ring Road Jaga IX No.Km, RW.1, Maumbi, Kec. Kalawat, Kabupaten Minahasa Utara, Sulawesi Utara, Indonesia",1.4779437,124.8909537,Kota Manado,Sulawesi Utara
ChIJPXiOPViPlC0RVJxcSm8OtAQ,Alun Alun Kota Polewali,"Pekkabata, Kec. Polewali, Kabupaten Polewali Mandar, Sulawesi Barat 91311, Indonesia",-3.4084829,119.3124461,Kabupaten Polewali Mandar,Sulawesi Barat
ChIJRXockwjWvi0RY3TZtY8Pst8,Wisata Pantai Topejawa,"Topejawa, Kec. Mangarabombang, Kabupaten Takalar, Sulawesi Selatan 92261, Indonesia",-5.5089985,119.430869,Kabupaten Takalar,Sulawesi Selatan
ChIJE8ll5iAreTIReO_8uq1fdB4,Masjid Agung Baiturrahim Gorontalo,"G3Q6+24X, Jl. Raja Eyato, Limba B, Kota Sel., Kota Gorontalo, Gorontalo 96134, Indonesia",0.5376111,123.0603662,Kota Gorontalo,Gorontalo
ChIJXaadtQjzuy0ROqnQDJJLARY,Titik Nol KM Sulsel,"9FHC+4VM, tanjung, Bira, Kec. Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan, Indonesia",-5.6221613,120.4721729,Kabupaten Bulukumba,Sulawesi Selatan
ChIJ1z1jr9Q1eDIRxyv2B3-PTK8,Pantai Pohon Cinta,"Wisata Pohon Cinta, Pohuwato Tim., Kec. Marisa, Kabupaten Pohuwato, Gorontalo 96266, Indonesia",0.4495014,121.9481098,Kabupaten Pohuwato,Gorontalo
ChIJgwXQGst2pC0Rkb9zCImxYY8,Benteng Keraton Kesultanan Buton (Negeri Khalifatul Khamis),"GJG2+4W6, Jl. Labuke, Melai, Kec. Murhum, Kota Bau-Bau, Sulawesi Tenggara 93713, Indonesia",-5.474714199999999,122.6022575,Kota Baubau,Sulawesi Tenggara
ChIJ-__pe-J0hzIR3SRPfAcReu8,Taman Berkat (GODBLESS PARK) Manado,"FR8H+WJG, Jl. Piere Tendean, Sario Utara, Kec. Sario, Kota Manado, Sulawesi Utara, Indonesia",1.4673016,124.8290758,Kota Manado,Sulawesi Utara
ChIJZ129EyKhhi0RyqO6oc6Qu1U,Pantai Kilo 5,"Pantai Kilo 5, Jl. Dr. Moh. Hatta, Bukit Mambual, Kec. Luwuk Selatan, Kabupaten Banggai, Sulawesi Tengah, Indonesia",-0.9831849,122.788762,Kabupaten Banggai Laut,Sulawesi Tengah
ChIJAYOhbKchvy0Re-ZGWcM9fLY,Wisata Pantai Bintang Galesong,"Jl. Karaeng Salamaka Kassi Lompo, Boddia, Kec. Galesong, Kabupaten Takalar, Sulawesi Selatan 92255, Indonesia",-5.3294596,119.3559962,Kabupaten Takalar,Sulawesi Selatan
ChIJif3f8yREhzIRH85zFLlR6So,Bukit Kasih Kanonang,"5Q88+49Q, Jl. Kawangkoan-Kanonang, Kanonang Empat, Kec. Kawangkoan Bar., Kabupaten Minahasa, Sulawesi Utara, Indonesia",1.1653281,124.7659944,Kabupaten Minahasa,Sulawesi Utara
ChIJAYhjftAqfzIRQW65iMl5F0A,Kurenai Beach Resort,"Botubarani, Kec. Kabila Bone, Kabupaten Bone Bolango, Gorontalo 96111, Indonesia",0.4782589999999999,123.08986,Kabupaten Bone Bolango,Gorontalo
ChIJwwQWOaO8lS0RDUoust8-3lw,Paputo Beach,"Paputo Beach, Jl. Latassakka, Lumpue, Kec. Bacukiki Bar., Kota Parepare, Sulawesi Selatan 91123, Indonesia",-4.0534349,119.6191624,Kota Parepare,Sulawesi Selatan
ChIJ-QCKPkfUfjIRZwOmnMLlA5Q,Danau Perintis,"Huluduotamo, Kec. Suwawa, Kabupaten Bone Bolango, Gorontalo 96121, Indonesia",0.5457486,123.1444156,Kabupaten Bone Bolango,Gorontalo
ChIJL1UINDl0hzIR9KoY982h0n8,Pantai Malalayang,"Jalan Laut Sulawesi, Malalayang Dua, Kec. Malalayang, Kota Manado, Sulawesi Utara, Indonesia",1.4601924,124.7947918,Kota Manado,Sulawesi Utara
ChIJdzm5KpztmC0RA4bS-kfx1QY,Kendari Beach,"Jl. Sultan Hasanuddin No.27, Punggaloba, Kec. Kendari Bar., Kota Kendari, Sulawesi Tenggara 93123, Indonesia",-3.967271199999999,122.5589815,Kota Kendari,Sulawesi Tenggara
ChIJkbIoicxzhzIRMT6mU2dIxSo,Makatete Hills,"Warembungan, Kec. Pineleng, Kabupaten Minahasa, Sulawesi Utara, Indonesia",1.4291212,124.8252614,Kota Tomohon,Sulawesi Utara
ChIJ7xd7RSehhi0RWv0T2RpeokA,Pantai Kilo Lima,"Pantai Kilo Lima, Jl. Dr. Moh. Hatta No.129, pantai Km5, Kec. Luwuk Selatan, Kabupaten Banggai, Sulawesi Tengah, Indonesia",-0.9860956,122.7922576,Kabupaten Banggai Laut,Sulawesi Tengah
ChIJ_f__1mZXvi0RHxs6cHZvrEU,Dermaga I Rammang-Rammang,"3H8X+W37, Salenrang, Kec. Bontoa, Kabupaten Maros, Sulawesi Selatan 90554, Indonesia",-4.9327154,119.5976602,Kabupaten Maros,Sulawesi Selatan
ChIJfUgFF0fTlS0RKt6lCc9jIjw,Taman Wisata Puncak Bila Sidrap,"Jalan Poros Pare, Bila Riase, Kec. Pitu Riase, Kabupaten Sidenreng Rappang, Sulawesi Selatan 91691, Indonesia",-3.821319699999999,120.0465144,Kabupaten Sidenreng Rappang,Sulawesi Selatan
ChIJ_zAZS3e3iy0RJjEZ24sBBqY,Pantai Tanjung Karang,"Pantai Tanjung Karang, Labuan Bajo, Kec. Banawa, Kabupaten Donggala, Sulawesi Tengah 94351, Indonesia",-0.6450325,119.7375816,Kabupaten Donggala,Sulawesi Tengah
ChIJS88mueNZvi0RMLB7fmKL6Kk,Dermaga Dua Rammang Rammang,"Desa Salendrang, 3JF5+X28, Bontonlempangan, Kec. Bontoa, Kabupaten Maros, Sulawesi Selatan 90554, Indonesia",-4.9250855,119.6075755,Kabupaten Maros,Sulawesi Selatan
ChIJwxSKvZR2pC0RIdxNZRz0wqU,pantai kamali,"Jl. Mayjend. Sutoyo, Wale, Kec. Wolio, Kota Bau-Bau, Sulawesi Tenggara 93717, Indonesia",-5.4546931,122.6071772,Kota Baubau,Sulawesi Tenggara
ChIJq6qqqp7uiy0RknmYlgR32uM,Taman Hutan Kota Palu,"4VJM+7RP, Talise, Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94118, Indonesia",-0.8692753,119.8845838,Kota Palu,Sulawesi Tengah
ChIJsZH6nHiXvi0RUJMr73SVNJM,Sierra Sky View,"Jl. Poros Malino, Pattapang, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92111, Indonesia",-5.2388878,119.9181563,Kabupaten Gowa,Sulawesi Selatan
ChIJracGux4rfzIRL3lNYvB7IG4,Wisata Hiu Paus Botubarani Gorontalo,"Jl. Trans Sulawesi No.18, Botubarani, Kec. Kabila Bone, Kabupaten Bone Bolango, Gorontalo 96117, Indonesia",0.4746294,123.1011491,Kabupaten Bone Bolango,Gorontalo
ChIJFf-XO6XrmC0RuTfQ5etrJvY,Pulau Wisata Bokori,"Pulau Wisata Bokori, Tapulaga, Soropia, Kabupaten Konawe, Sulawesi Tenggara, Indonesia",-3.9400062,122.6597541,Kabupaten Konawe,Sulawesi Tenggara
ChIJg-99MRtmkC0R5OI0qA7YUuc,Pantai Ide,"F8MR+VWJ, Magani, Kec. Nuha, Kabupaten Luwu Timur, Sulawesi Selatan 92983, Indonesia",-2.5152898,121.3422809,Kabupaten Luwu Timur,Sulawesi Selatan
ChIJyXFuaaYdvy0Rhxrc_82jOog,Pantai Biru,"Tj. Merdeka, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224, Indonesia",-5.175832199999999,119.3876499,Kota Makassar,Sulawesi Selatan
ChIJOcIPkuCIlC0RshPQWNrUZpU,Taman dan Pantai Bahari Polewali,"Mammi, Kec. Binuang, Kabupaten Polewali Mandar, Sulawesi Barat, Indonesia",-3.4392793,119.3495065,Kabupaten Polewali Mandar,Sulawesi Barat
ChIJW89vyWsDvy0RixPxznEw7_U,Samalona island,"V8FV+WFM, Lae-Lae, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan, Indonesia",-5.1251528,119.3436784,Kota Makassar,Sulawesi Selatan
ChIJz7gM_C2SmC0RuV19EXsGEtc,Kebun Raya Kendari,"XH2G+QV8, Jalan Kebun Raya Nanga-Nanga, Anduonohu, Kec. Poasia, Kota Kendari, Sulawesi Tenggara 93237, Indonesia",-4.0480792,122.5771914,Kota Kendari,Sulawesi Tenggara
ChIJNcuvJAHfvi0RfzDmrzLzQOA,Kebun Denassa (Denassa Botanical Garden),"MC5P+22H, Tamallayang, Kec. Bontonompo, Kabupaten Gowa, Sulawesi Selatan 92153, Indonesia",-5.3424441,119.4351203,Kabupaten Takalar,Sulawesi Selatan
ChIJr7CULFtwpC0ReRBxv7ie8OI,Pantai Nirwana,"Pantai Nirwana, Sulawesi Tenggara, Indonesia",-5.523852799999999,122.5679832,Kota Baubau,Sulawesi Tenggara
ChIJm63s6Y4Ily0Rmpw8UO_GjVc,Danau Biru Kolaka Utara,"73FV+4RM, Walasiho, Kec. Wawo, Kabupaten Kolaka Utara, Sulawesi Tenggara 93552, Indonesia",-3.7271598,121.0945324,Kabupaten Kolaka Utara,Sulawesi Tenggara
ChIJSWaRkqXDky0RoX3_0ANQkQc,Objek Wisata Rante Kalimbuang Bori',"3WJC+3RC, Bori, Kec. Sesean, Kabupaten Toraja Utara, Sulawesi Selatan 91853, Indonesia",-2.9203245,119.9204459,Kabupaten Toraja Utara,Sulawesi Selatan
ChIJcbYwr-zzuy0R0Kz5lCEuPhE,Pantai Tanjung Bira,"9FP4+3P7, Tanjung, Bira, Kec. Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan 95752, Indonesia",-5.6148403,120.4567972,Kabupaten Bulukumba,Sulawesi Selatan
ChIJ8cjvaKhfkS0RaKezZVhgDvY,Masjid Jami Tua Palopo,"Jl. Andi Djemma No.88, Batupasi, Kec. Wara Utara, Kota Palopo, Sulawesi Selatan 91911, Indonesia",-2.9941265,120.1953069,Kota Palopo,Sulawesi Selatan
ChIJjeMAfCwThzIRp7ygIFauE4o,Tuur Ma'asering Kumelembuai Tomohon,"Kumelembuay, Kec. Tomohon Tim., Kota Tomohon, Sulawesi Utara 95449, Indonesia",1.3534683,124.8800933,Kota Tomohon,Sulawesi Utara
ChIJ-TQfUWzUfjIRVAXEvoj9g_E,Benteng Ulanta,"Unnamed Road, H44V+P7J, Ulanta, Kec. Suwawa, Kabupaten Bone Bolango, Gorontalo 96113, Indonesia",0.5568333,123.1431421,Kabupaten Bone Bolango,Gorontalo
ChIJGyNjvc7uiy0R1De_cgC70Eg,Gong Perdamaian,"Jl. Soekarno Hatta, Tondo, Kec. Mantikulore, Kota Palu, Sulawesi Tengah 94119, Indonesia",-0.8556908000000001,119.9122483,Kota Palu,Sulawesi Tengah
ChIJU88CqC9Ovi0RSqU_691g05A,Taman Bambu Runcing,"Jl. Cempaka, Padoang Doangan, Kec. Pangkajene, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan 90614, Indonesia",-4.8354523,119.5479131,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan
ChIJ8ZmE4C0Ily0Rr6w1SzGT37s,Pantai Tamborasi,"Tamborasi, Kec. Wolo, Kabupaten Kolaka, Sulawesi Tenggara, Indonesia",-3.759009,121.119701,Kabupaten Kolaka Utara,Sulawesi Tenggara
ChIJDxFgUGK_lC0RfnfCEZSWSLg,Pantai Dato Majene,"Pantai Dato Majene, Dusun Pangale, Baurung, Kec. Banggae Tim., Kabupaten Majene, Sulawesi Barat 91412, Indonesia",-3.5595037,118.9843342,Kabupaten Majene,Sulawesi Barat
ChIJ_UdLPD8kvC0R2_gIi-1Tw1g,Hutan Mangrove Tongke-tongke,"V72F+74V, Tongke-Tongke, Kec. Sinjai Tim., Kabupaten Sinjai, Sulawesi Selatan, Indonesia",-5.1492653,120.2728034,Kabupaten Sinjai,Sulawesi Selatan
ChIJh5xJ6lWghzIRrNwzZv17Aig,GPI Waterpark,"Griya Paniki Indah, Jalan Akasia, Paniki Bawah",1.5310721,124.9052271,Kota Manado,Sulawesi Utara
ChIJJ-oTHJ-7lS0RJ5kYA1C2CEg,Kebun Raya Jompie Kota Parepare,"2J3R+6X2, Jl. Industri Kecil, Bukit Harapan, Kec. Soreang, Kota Parepare, Sulawesi Selatan 91100, Indonesia",-3.996984,119.6423786,Kota Parepare,Sulawesi Selatan
ChIJR03wwKEqeTIR3q4KVLC5JCY,Taman Wisata Tangga 2000,"G345+Q3F, Pohe, Kec. Hulonthalangi, Kabupaten Gorontalo, Gorontalo 96133, Indonesia",0.5069393,123.0576773,Kabupaten Bone Bolango,Gorontalo
ChIJnfyr65_1ly0RzFB-XZlzBnc,Wisata Kuliner Kab.Kolaka,"WJM4+VMW, Wiskul, Kec. Kolaka, Sulawesi Tenggara 93511, Indonesia",-4.065254700000001,121.6067165,Kabupaten Kolaka,Sulawesi Tenggara
ChIJjzmSo5VshzIRZOrwfyBflGQ,Menara Alfa Omega,"Jln. RAYA TOMOHON DEPAN MENARA ALFA OMEGA CENTURY MART LT.1, Kamasi, Kec. Tomohon Tengah, Kota Tomohon, Sulawesi Utara 95441, Indonesia",1.3256138,124.838817,Kota Tomohon,Sulawesi Utara
ChIJJz-L7CFUlC0R42WOTwjtfqw,Pantai Harapan Ammani,"Pantai harapan ammani, Mattiro Tasi, Kec. Mattiro Sompe, Kabupaten Pinrang, Sulawesi Selatan 91261, Indonesia",-3.7620264,119.4858786,Kabupaten Pinrang,Sulawesi Selatan
ChIJ91z60qd0hzIRBwNdza95res,CitraLand WaterPark Manado,"CitraLand City of Blessings, Jl. Royal Mansion 2, Winangun Satu, Kec. Malalayang, Kota Manado, Sulawesi Utara, Indonesia",1.4416774,124.8471904,Kota Manado,Sulawesi Utara
ChIJx3134APzky0Rt5ZyBs6sgEU,Pango-Pango Makale,"VR3H+RX5, Kelurahan Pasang, Kec. Makale Sel., Kabupaten Tana Toraja, Sulawesi Selatan 91815, Indonesia",-3.1454757,119.829969,Kabupaten Tana Toraja,Sulawesi Selatan
