nama_wisata,alamat,rating,jumlah_review,kategori,image,lat,long,place_id,kabupaten,provinsi
Pantai Losari,"Jl. Somba OPU No.57, Maloku, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111, Indonesia",4.6,4873,Wisata Kota / Landmark,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEGuO-sCT3YM4FCbv9KtCAVlNRL9oPxrEBvoe_00b7vQfP6UjhZQ1hR395lT9VE9nutdqPkg2GQxcq48yoq62c6qXAF2w4mLCfJVfaF1eMZVrjHbNGfqHKF_3whajCOWVu8m-dQUvoXnjBjFPuheUOeiA_txVDSKY6SDxVBI1uEs2bXq2Et7mG_iz1g_XGztBHp_W0DdkMGlCj8ww9bgp-s3XRK0XVFz8Mp7D9YS5l-dqCHoUCJ8bFykHFxZGjd5S8Fxn4jTA9T9PR5HT6Pqat7zWM0X8SrvgRzZo9EO9NzKVkstMwphmAiEXU1g7-PdGGlg81Kjxrf5vqX1q-U77G04NTqmMIuVB39tO0h-zalPhklQbWT9RFkvsaOJTkMLOOEj5FSPCpikfgQQuFxu_Dumfj_uOT-LviqPj1ufgewIeA&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.1429693,119.4074741,ChIJTWtCS60Cvy0RB9LEfNoFeno,Kota Makassar,Sulawesi Selatan
Tribun Pantai Seruni,"Tribun Pantai Seruni, Jl. Seruni, Pallantikang, Kec. Bantaeng, Kabupaten Bantaeng, Sulawesi Selatan 92411, Indonesia",4.4,4698,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEGSZWqoZiUVxAMtDlbwEJxk9-3AoYH3rUQjiyU4gciOqkN8ytnsgOcHxd6haCD9YmIUd5sOVOIBU7EgQKB9583gWvsEQin8tNFMNNOn3f-LyKKmBcs-symK7wmruJscYWO5KFq0NY7SOy77VotHFOIYLPdQP6mWiJEzODOw7LwTSPEDN7AE3UFZvUnNJW81ID2aGoIkvPohIDo6_I4kwS4O2ASWpzoq-XnlDVhH4MXCkTh0KY7o-YWf-ihSgJl2hWj-zl_rlFxWUkq_Bo67Fpd-cPNxQ8A5j0O4hbRLlT4uKqc2DAeuAs7YvpTxesYLE4HszKV4XRsUihOC2rr1oMzyOOTa3FUMs9tnm6MJZUUcEuDqG77giB-fFFSyHPFe2CqhMaF6rvEx5egcsO2UuTZs_KR0TmLoV1Vl6--KSqSvlQ&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.548762399999999,119.9461783,ChIJRe5FBcayvi0RjN3evEJQtvg,Kabupaten Bantaeng,Sulawesi Selatan
Bugis Waterpark Adventure,"Jl. Raya Baruga No.1, Antang, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90562, Indonesia",4.4,4694,Wisata Hiburan,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEG_UnD8Gqqn7BVoF3CShdXmzXYpt1j-icWm3iItzjN80ZB9bjS_8sRAa3mhH3AJW4zbTI5_a_xrmlarmeNcgW2vTzr9XanShZzsuRrRe0J88iqt7bLO0EHSLPI32DUdNcDWWbDITiY_061iuPpMUsxpHPwtKqJVDNOXvAWd4kFWg-E7YxaXYJnCGq_dm8slPjgKaJCSSSRDtEKs3StU4LKdEQavELgAIea-9T70aVgdHiHdujtunfUG5il0VWr1O_2fubu6ogCF0vnykn-I4Uu3HDH05W9u21RvS_tqDkSyIRd5PNPMCokhXOrLYTL6xfkoHhZ1kGB5wOvFbUIptYwZ_6FhAabt4iAGe0inFdSslWYjOEqO6lLYNGn_H-eHj0C2yh_Naxd7tItWrPkDnQvJWiFVPtng_Hu2CnpO91q24w&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.1538136,119.4946243,ChIJeaVDy0Pjvi0RmquBLs_T5Oc,Kota Makassar,Sulawesi Selatan
Taman Kalong Watansoppeng,"MV2P+76Q, Botto, Kec. Lalabata, Kabupaten Soppeng, Sulawesi Selatan 90811, Indonesia",4.6,4614,Wisata Kota / Landmark,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEGsJWm4RI4SA6WKCNLbWxc485szuUJh8-nno0yx1EnQjXmLzDh0MZrCvV6z9UpuylFxVYFAwGHTkcpKsCEnrQLHtymYiXuzIoYoMWgnBa9hBvx91DIeYsh3NXu7Z208aa0t1mWx6-lRiyGWptdW6tPoTYDRHX6R1vke3XV-vjw3JG17GxPQYNy0ET0nWX-4Q2LLGxnQtO2Li-ZNR_VjMbKJxGHjCvm2mSwaT-ZYPJfpkmkMlS_LwCPh9d_wAVjuI4st2lTmZiinhfv4-Zp6FYpUqMoEyoegVUcVvdyxGeIzlLJD_2rtfXSkd_2W0AloWA-l-jU6gQHZM0V7x5XT_-B8Z3ZT9Tmnv7yDYdCntJmwQRqzJ5aRTM6VF6XE1XedwxloGihK-bSaWQ9OYUOLhcs7iFKKaiGpHbY3kNzC0pKnpcbr&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-4.3492856,119.8856157,ChIJ4RUE5IP2lS0R7-4_zE5BVtc,Kabupaten Soppeng,Sulawesi Selatan
Patung Tuhan Yesus Memberkati,"WV38+WH5, Buntu Burake, Kec. Makale, Kabupaten Tana Toraja, Sulawesi Selatan 91817, Indonesia",4.6,4347,Wisata Religi,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEEFyCpQ3OigHFpL0_fjmiihSYK_ZWoKI7A2Z-NDUqKtPJ9noiGi_7oX0Dk0dHpp0SePsitz6Kjm3D214rysQsdGHBRet-jTOlW8u1RhO_RC1KmI917E2EtL_LoOjRfPiFre-yOvsiY5Fa60Q8Y5e9XoABw0ybU-_MVCsCaPchN7asD00baDRLxt4rgwBSQ9O8xBI72egmr7iF66pQTmBC19RSO9hbjnuwXSoCGQy5MMBfrJYS_skcIpXxuqDqX5FSHgkiXHP9eSK1Sz1V9dMDmkbZCUSKQ6Y51EKvwc63tB3b2_jb45Pbdmsl3YggSLsCQG46q37sQEA01EmBzq1fHRHM4_KnXt1NoHAHyNLYJzRsGbHfmb1zPInGVLIoJZZLfmjoaYm4JfJZil3JtblE55MP2PUj14IrkkCSMxRRqhIA&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-3.0952365,119.8664913,ChIJs8z4-u7tky0R0SmrqPRGQqA,Kabupaten Tana Toraja,Sulawesi Selatan
Pantai Losari,"Pantai Losari, Sulawesi Selatan, Indonesia",4.5,4226,Wisata Kota / Landmark,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEFp4ZwWukiR3xP-GUw2O4XRBKSE5BCfx6GDuu002ZiwXMxAOAwTfUBADpz6Bk-dPawot--WDgJhUAqyWjaPQcSFloCqduhxoPMyJSfBqf5uro0nv_I-5j6qQjICyhzwpRz4XZOWBQT8ybYI0jcuksPGOrSz8hP2iftsRxLrB88faDtK57UFD9Wj1wgg9qDXLijN3-WmjJIC3mA2Oahs1B5bchL0hPL3lmK22HGNLYrMzankpKpAyvXtsdx8dCxoE8qF41zDcQFVPMEYwWX79Om1B1w4AyuUwBabwyZbtIwF5x30cfCAcGCEyN-QnwT3_Q0t4rJ7-TIjpeqxM0XAhBaseHvUOf2VPkrSVrnabf2lZ0gWoujDkGTaPfegQaI0l3iMWLbIE69muh10lDuhYzb43DkMHB3sYWAsVYkd0sS4bQ&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.1436198,119.4074821,ChIJidAw6lIdvy0RkBC2CayiAWE,Kota Makassar,Sulawesi Selatan
Tugu Zero Point,"FRRQ+7MJ, Jl. Jendral Sudirman, Pinaesaan, Kec. Wenang, Kota Manado, Sulawesi Utara, Indonesia",4.4,4065,Wisata Kota / Landmark,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEHayeEkLkaJhD35HT47_1IPKDiaA0Ee7qG-pwXxksgEnd-DfEMkNrFli3TpLYeg18UDQgiC9aPqGWgWuqg_9ejUCwgd_PYYvGBQnhFzsaI9hffkP34k4j85ZrvikXS-oDXafLOIYrtB-yxpKc8PYcIQc4c5sgegd8Ua-v-aW7s95AWLV37uEH5ZWZHfFD9UcPm4BChvilCNjFlbC99ARRwR8n8evtULg3lXYkZPcQ8H2aM757JNy7S3g0IzWs0H2Qna-smzjVEcel5_moTQSbUgVrR4tkXJBT8a_OKFOM09YcJ1OWNS_xOa8FQTyfGfgjTnJWQvhWbpVUqJKNuakQNqvzxTNNqNBLZ1OxdYfRqoZi_8-4dWH5BexyfVD0pWnCcnxum0ze-Xn0ZAZIzkHijcv-Bc_XdBEgGBdoq_B0PIAzTdsF8lDOWj-GMQu-pF&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,1.4907186,124.8391432,ChIJXdb6FGp1hzIRj_DDslIOGQI,Kota Manado,Sulawesi Utara
Cinta Souvenir Bantimurung,"Kalabbirang, Kec. Bantimurung, Makassar, Sulawesi Selatan 90561, Indonesia",4.5,4062,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEFymH4lP-PHXE-v2eHYpRw1gms98NmYbAMdsHt7OCEll1PPlGutCABPvPkKKHZ2UMtx8PhYiujNqHUo6FG_z5cNE8iGfn-RodWqgZO8rL9JORIl4TnapHTPKQ7Mrz8WKSue313GGvjADhxAE1I0Mvba-59TpfO4Tva4kAtjM_sl9CbThCFdMyX3ZaiHKtShgV6SHmpY2FwxAe9N5WqjwwT_5YHvFTINiVGH65Mjh4XFwqmR0XT-d2ZuarkrOYg2HzSbExzXaMxR7QpJTv_2u-YLQNRH3RoOU5Yp1B_sr7FiMg&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.0158591,119.682158,ChIJleApO8v3vi0R8xU5_AQbpcs,Kota Makassar,Sulawesi Selatan
"Lolai - To' Tombi, Negeri di atas awan","Lolai, Kec. Kapala Pitu, Kabupaten Toraja Utara, Sulawesi Selatan 91854, Indonesia",4.6,3927,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEFtsAXMN1osg0qojVRPRJNaFjV9MKojjkoEKfzfTSHNNac5CQPnrWupTXLVXQvGfKg7yLRXc-4f_53bAtL1hZw-wd3Gb5EXGQpkfJrcsJ0q194r2rVKPI064SkMwA-TZhme6lHUM2E8RW4AkHKsiEfrdglKh5-K68q3fTt9JfcqIA8pyVehwZ4kpJawsZq0lw6pqXMKcVJisnU8k8DdSGuUF-X7ejiTAqTGXn0OU2kVX2kaRKX4O9K-gr0JD3Vy03bYKXu1CPbmBCe1mHn0o7Kpjosqo39sGUVNFPkUx0TK5g&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-2.9656999,119.8652711,ChIJ2ZoiF-LBky0Rez3x1SgEWfo,Kabupaten Toraja Utara,Sulawesi Selatan
Pantai Bira Pasir Putih,"9FP5+7F2, Jalan Poros Jl. Pasir Putih Bira, Bira, Kec. Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan 92571, Indonesia",4.6,3677,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEHzVDX4g8kzh9Tbbg8KocVrttys5Tixg_43Dt0634qmAuO1c3dvoVGdBvBFosKlilqDPi93LW-pRA94Rv_Em0pE-nzvpLQHo-18R08pT1an-NvhEo3bAwjsFr8mkU0ZMyADx8Czg5zTXjAEWf9oRX86gcutwwaCKsz-pQAi9XwSsSqr5WKrxKt5R8xSkkG_Nwqngwx4Ie8AK6lBf0NscRq3sO1htw1j0R8T6PKUp3xgHy_loecFcm5w6uvVPiP--95iwphIJaoVqlmED9AYdkiTT9259i6kDa-x0IIaPnF36flZNBpmFphVmUe344O-ahU0myCmZiZh5WFUabvjFupE8gV4_qEWni3X4p0x5FiHGpqRCJSYN3auENSwqAlYNDt6RQi8b1dcQea6tiawP2jU6Jg5MxRUq2q3cgjmJt75KOQZ&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.615140299999999,120.4574201,ChIJ-c5v3ezzuy0R2sia802Iu8U,Kabupaten Bulukumba,Sulawesi Selatan
Taman Gor,"4V3C+MW9, Jl. Chairil Anwar, Besusu Tengah, Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94111, Indonesia",4.5,3507,Wisata Kota / Landmark,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEGhoZ9TSEptHY1Sn31myjJqsTlkgOmmO0183BqEg0IRGrIPC7s6irssRXOQMogevqWpr2F5OD4QV5Xra6jqIBgLsuRxzxEcKlvs82W18WCKPIRXAGq9-Mzt5giiCO6fDl781RfK_U2GmbH1Sd6Ho8g1Ctu__V3EnK_i3ZA1_Akf-AMjPLISgHB5TwkCaXDwClnZnssamDInkqDteTr3UNY7JE1oi4Eoa6mIf1Fc9ovH4AuOnU8P3rET49ILB7aYrU5cMOp_fVLEEoZx0TDUmos2o_pSckxCkdtifQ1PSoIV_9AGebML86ySUkyKXsO75rJvDJblBnkXGjChJ8o_rURExOmfG9rqe-li_PhLe7_D_V2KIg3FFWmATOA8Ip7RASwfEAYSi1x_4yscitcoD54a60uX2Bp3ELfz3rjNv1A&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-0.8958370999999999,119.8723469,ChIJN1blDtvtiy0R_CxnmF5s5Kg,Kota Palu,Sulawesi Tengah
Lolai Tongkonan Lempe,"Benteng Mamulu, Kec. Kapala Pitu, Kabupaten Toraja Utara, Sulawesi Selatan 91854, Indonesia",4.6,3387,Wisata Budaya & Sejarah,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEGfKAcFCdYaVYdMiRiMCo1TFRkJatNsbRZEKZVcPseXGwCnJuNmHT2MVGqnuuY80injMUV4IGzHNPnP81KzbtuW6KGFRznEN2wRpKBUgR1LvTFTweRmxaqDQ6pSweBoMNUd3b90nojgVBscPIqY3hd-fExuZS7E279rgARKOB6tW5qeMPhil14wybAYLJprNsTTF1bkJwpLsZHTgYGk5bwKU9_Vtni8TWJER81LqQJkfmLwSaxCHdyErzIK5DmyYnROcqK472uw8JoJGfzByAyhyWKs17qa8X4uJfliOxkV9A&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-2.9463286,119.8583168,ChIJJ7bA85XBky0R7ZS3wepAzr4,Kabupaten Toraja Utara,Sulawesi Selatan
