nama_wisata,alamat,rating,jumlah_review,kategori,image,lat,long,place_id
Museum Kota Makassar,"Jl. Balaikota No.11, Baru, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171, Indonesia",4.5,549,Wisata Budaya & Sejarah,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEGTsKuTxAOkDGm_P7n4DC1VrcIVfDuJPUd1d6isEY6aZS9yeFUUg0aXFC1ZO4YiWKyernsIyx2-kXw4MixvGXYVcY9uJe_rx9w4kVvJZ0K4NifY4g_KxuizQK1OPYFQ4r_z-ivbamfEU-SeQ58dZSNMtrCTFmVUhh7uHCcdnEg9h_-hg5Ub6sWV0USevgE2JZGCCMEoHl_rQc_mkK9NXXm8rrhOu_Tc1U4kck0FhZEhOyJYw3zAnQmwRfVeF-pGPdUpPQDRdZmWMssnEhwOitQjsqR5bwu6IhOUm4n1XnMLvGEh5nouicZaPOcwLFn9T1JswJ9qcnKjMw4dnysadrJxN-TN5UbASimb1P4XOdFQmaCbW-IVBmyDvC-sPCmDHj5EnAapuU-Ei1DFiwoYOh0z-kygUpkgdSIu0oNXi1ASOA&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.1345968,119.4086261,ChIJP5KgYqUCvy0RIg7X3JnjBKA
Taman Maccini Sombala,"Maccini Sombala, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224, Indonesia",4.2,190,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEGxqN4ZlZllfZVJgXTfl325ZP7u1JiPQugUoqaO10Vzyq3cBrTDV2upwRUCv_Mu1PsZJz9kaQ89O-0TmSY3NT3ly4PNPPFiNzE7IB-GyYrrrJlpJQqWYc01PDOZTwtRqEZG4nsBqiUK3tzkcwCMc6N_GIerApIT6t6D6lQyuh3V2tMhvKKfStrZaeGV0-O6etMPrbgdxrnXmP_QfKqPrlZkt3IdqxbH08OduuwGCBSOd8FPpgopK-Esrg2zJi3Pxm6c9j0b-myCt5_8Ykd10YHpEWV0j8635qkpxYi7QlcgCDZcimH8Bu48SiizjIQnAg7HIfUUJJjVvUBkLybAsLvQz-VmvUGODwjlTujWqx40o9yXCQL-psQl6ydohh4rCNoPmEAbdbE5TAkh51yr-ZNQmh2OMOg7JR6BkkRvJQo&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.1672293,119.4039614,ChIJgSsW9Esdvy0RxTZhNpk5a2c
Pantai Batu Besar Losari,"V92V+WW, Maccini Sombala, Kota Makassar, Sulawesi Selatan, Indonesia",4.7,37,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEFlv4dFZVo-3By2vKqWbW2AenVFaVxq96OIUK2UKgq44IObO6xO9RHrhCmQ8HmfoGNdmo3a81Cks6dY5wBEN-LwJI87ovoaydu0GFyPNz2-nxwmyQgJpD6mhw4HCkwTmNvwLpgtjA5LJE7Xua-AT7nbt4BP31mdGaUHNIJkjm657CLYJiFLq9ssuGBeZjp2GdJ3unauSiYwcP5R9fKzgFk_bTJvqoRd8eSqAtvIGkVM56i23FrNPlq-INR-y-SG_nXt-aw2gSjIVmSER-VihGgCE2zqkSOiVsq7ACVAunqMTkTar0Pt5sfVN5CSU2zS9XaxGbGEM34yj-R3zUhOik97IZiVAvFPID7TM_X-TQ20PKacRHUe6RnGMHmWPPlSo0i_qcfDUiMN3fK_oFH1bNs3EU2fINWIKM3ho_ecjhSs5w&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.147705999999999,119.394767,ChIJry4aJaMdvy0Rm1vkJd5Ourk
Bukit Samata,"QFXW+MV5 Uin samata, Samata, Makassar, Kabupaten Gowa, Sulawesi Selatan 92113, Indonesia",4.5,688,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEFHV0rM-spUgtZKGJHhZccV7YMd7JwSNg6XIhYbPzOfdFCYukeRpXwlWtxO7SfH-VXRzAgYHZtOCKQ9e237VzlvO0mKa1k81G96zRt5NE4M1C9xxMAF5IdqtOO7E-bhpt3-fCgwtAKwwljIhKfrCqq2222eJqCyMyUdjUNC7dg05HKfNodd6W0nCB2KIgkZhKL3fcO791sbrjEb8tXZcqFMse26okN2EfDQN0Hk2LIbAe5Jknn6PleU1_aXCTrdtN3hgM9in90mGQW83Q-s7GMUhksY1MkSe_1WbBY9hQ3WbXPH2qVEqOpeaiWuFLyIvN9hGU62zZqpBV7EfHYp-TYS9arKf0yQzvBxjRpmwEB0Lg7TXs1Jkh25Bvic9HXn260Un12KIDMvz07J_fFrvtdnxqjwQRtosTTGmX84KWPiWw&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.2008732,119.4972238,ChIJ9y-rAu_jvi0R77EsNZ5ujJY
Anjungan Pantai Losari,"Losari Kec. Ujung Pandang, VC44+GX6, Panambungan, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90113, Indonesia",4.5,600,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEFMj7dwiFwJnW3aU_Mi1Ay0R2EwZOYCG1F4Q2BXSvmM__GeUYlNdf6-7fUxrwhhynbLsKQkSlY1wSShzYxBbMdmYwOlvyK5jwLXzvoLSCEeloUJ8iXW1A2yVK67YA_y7_mvnpUFF2h5UNSh2XN_XFiaMq2C1tnI5ipgMzMfugkcgvxqUPHsFshrijZ_ECQWXULGcjbZ2RdX6xVDbZaLXerkvTmXW7d79daPqT-X7GJDzIbzds81WDvh5N4mdsi1Bj9eCKGdkBay7GwtJ5veBzdKKkbhIutV2PSKbzmHsGLDf9ihDZB7AnHIGEGMiiC0WYHNlUz3l7xT1zLtw2PRafI36Dum7SIUvlZDbmqVvBz4QKgxGGaOI1y1gstP2PZNACXyCHn2ROyZQfzNS64xSrz4zDk1k0j8vTJDg5l91IZ6R98&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.1437016,119.4073769,ChIJ5TNelQsdvy0REm7ELucBeTE
Wisata Mangrove Lantebung,"Jl. Lantebung, Bira, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90243, Indonesia",4.5,601,Wisata Kota / Landmark,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEHDo1LxzxFnilVcPv6A4L5N-L4_CqARPnJwUnFcf35P8Xu5tn6hZjxdtkILVRpEGzsGm5cBBKGwDl9E5mGuYGx3OUBAd0XjKddmN0elJsNes5Jx8toKhVGNsw1DkswEWhSTxDeII2cZbwXIJbrzNqSt-zCBd0OyqCQ2oCXHzxBqM-N9PEu81G0cGuisU0tig2uaExbswFVLirUwVNiUl_4M7762jceooi9JpfrUNg1eoASvDGEMY4Ifih5Lhdj_Go13sOXrf8eYfJT3ZCt0o_aCCinFX_8t0MCi0GrS0wcpkCH2QTmKnT9uRHakYG2lsFs7aCmbvnFB8sfVDEVIsYHu0YCBhrH7LpG1P57k4jPF9qkxyacZGdeAqD5ukiOf1IDoBb90VMPHANfTPwVr3ao6LCf6PgWn7Ld9zJYQaJ_IchB6&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.0782972,119.4662363,ChIJRyVvVcz9vi0R95nuXzlghno
Monumen Mandala Pembebasan Irian Barat,"Jl. Jend. Sudirman, Sawerigading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90115, Indonesia",4.5,909,Wisata Budaya & Sejarah,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEFpSc6-NsiYvQNmWdSYflCzsEVdUj_CVlFroifpi1QbxMH5-YJlCcK5TwB4CQh9f3d0XtDhAG94Lrf9v2Wkzyb-Xgp4kBUSIiuYCt4oBJWyz08cTReLd5jVdphn-Ga0DoQqyOGR3map6lZU2Ok7fJyt-W-dXG2AXNy0ZKU-4P2yZSOqR5JpfeSr0xGLV-V_afBV4nIxYs09xNPjZ-TSu-ciGLMd9K6Asj9P6wr4rS7ZVdhwatIxOHJxCMG8qPlMyV3mSMYl2kopLulPEGLgH6EtvpgXpaf4KKX92lcXkQArTNNgwkZmpaHLB0gOD1x1y9DmKWIXiZ_Yp8S9PyczXWmb1W3hqxoYSXAe2yef_uyD_gTTE-YtILZKMHpjCS1NR_cNwuFwzeOzWv2xL1TiulGq9xTF4nV2M36xwwXDcV-xIQA&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.1376499,119.4137133,ChIJ6a6WZ6kCvy0RE9nL8dWbm_s
Samalona island,"V8FV+WFM, Lae-Lae, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan, Indonesia",4.4,1207,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEGNpnDLR6oSptsJP8bN9_aaLZUf1A5AH0e2oDPVJ2hl7KDl5tjdBqs5fHq3rH0KtryAc1GOTGggBW_FAO6sL8lTSWcTpZK7-OB6D2Ht8dbrPvxPb0UX9ElcDYn0i3ac1uxDP2-WFlUHlROtE126HGJx3KNdtF3Oam6ZfukYx-llOpcPJ2G46NEHdCjyv_xW-2zbo0-ceRae_9wgBHOONilsY-d06O7lcDrcmUF2rt9IC234IzQx7igF3nrhtsJMe7bzkMybuEhMTMBctsVJ1EscHFpsQBceEK78UkO59TKpx2ONlFia1nLJ0LN1KBQ2685B-3G_oez58XLEYIGWhU9z5l7uaLziPNciVyY-dgdac0xV0QDzUksNLtq8LwkscpTbVoarAX54VS63pGHzlSL9VU1LVth3yrmUQtaU0ksj3naL&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.1251528,119.3436784,ChIJW89vyWsDvy0RixPxznEw7_U
Vihara Girinaga,"Jl. G. Salahutu II No.11, Mardekaya Utara, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90144, Indonesia",4.8,405,Wisata Religi,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEH4bsoj4FvSI8mr79-d8cgApjlWVaOeoULJ1ih1sZFpW1v43lfCc-AyKCI-YEg0xWiBvB9qJJjPYNRwhgaEFBZCSoh-Rs6FKgtRTXzGp_tobLhZ_tiQyOTpL8Gby4QgCcum8EJFgkBLnmEbNlCIJWoRwhOi65wgxzi3Pp-IiPueBzANDxSRAN54mhGDlz0Hg_4odkzmxrJz-r05_5iQwSRjcmpKToWZR0qWMVWVcXPONqh4LeBJ88hUSwl-kca5bS-saz-VVGiLIK9n4iGjBk8apX_21_B6LmbxuBxWffKxop_hRxM6fd5c7hhnllPYeuNrnK3jmRFP1eiOi0Lfs-eQZBmYHT3EIemvxCRB6mvzy79bwaRMuVS5k19lNI1sIVqppuzDJLarZ72NgNmT4fhSIiJNjMA_2sZTJ4T6y8VdyA&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.1409996,119.4226574,ChIJFSWH81T9vi0RU8qwJcyfpRE
Museum La Galigo,"Jl. Ujung Pandang No.2, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90221, Indonesia",4.5,333,Wisata Budaya & Sejarah,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEFDbsZDCBWhHa7qJE6hHC8eAyL-nzOzgg4NCnLj4OQeV1zWFSZkFYhLY8FMhWc62G_C4hcNp6cS0dERX9a6jUyVJIsoHr_wdy23omtQJYRzMP9iWAAm2wbLquTehAquWxb585WBHm8bpYwGWUl75jGn99SUlJCUmth1qmsjyR9wEg1JPNgVZRrsw8O5VyMrLwRR2FTJ-mpQLRqhDnYk4UAlSs4wLROyUleLM6FhliqyHrNKBv7uvK1xASFP15gNI9iq9JeHwqJGVxqnCWOgoPrz80nKB1X4KM49nX3uoKho7dJo4rZBa89R-aWmATh_OxAhPvg1Td32-45JIlom01Tb4ToNCnZvPrDTTy9UpZ3nKBbL_irizNhBfg4O93ozIyeBUyZweNVLAO6o3O53EjVGm2ArGzXeRZfoCAqXRmi5V14&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.133697499999999,119.405334,ChIJJ6oMC7ACvy0Rd2H4ib1EHkQ
Cinta Souvenir Bantimurung,"Kalabbirang, Kec. Bantimurung, Makassar, Sulawesi Selatan 90561, Indonesia",4.5,4062,Wisata Kota / Landmark,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEFymH4lP-PHXE-v2eHYpRw1gms98NmYbAMdsHt7OCEll1PPlGutCABPvPkKKHZ2UMtx8PhYiujNqHUo6FG_z5cNE8iGfn-RodWqgZO8rL9JORIl4TnapHTPKQ7Mrz8WKSue313GGvjADhxAE1I0Mvba-59TpfO4Tva4kAtjM_sl9CbThCFdMyX3ZaiHKtShgV6SHmpY2FwxAe9N5WqjwwT_5YHvFTINiVGH65Mjh4XFwqmR0XT-d2ZuarkrOYg2HzSbExzXaMxR7QpJTv_2u-YLQNRH3RoOU5Yp1B_sr7FiMg&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.0158591,119.682158,ChIJleApO8v3vi0R8xU5_AQbpcs
Parangloe Waterfall,"QMC7+F7P, Belapunranga, Kec. Parangloe, Kabupaten Gowa, Sulawesi Selatan 92173, Indonesia",4.5,489,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEEgeHC95yFKUGsYC25jME21fjx1fhnT-9fkDmj_Dnl7g11uVGIUqCbGfgGbGkXauQ6MBZ21cyo443_fU4qMCA_kOi_2EKFbe5_lj4aOc-YPYhDfpjAjWF_kQHGPJm4v3Zg1sfOi9afpN7V9StAsg7zZawyiS_gUhzd38grtIph7IrpE-Kf1CHr0i8cSEpo2-XUqJjrPqAnJqte5o1QDaxV_0sQtB07BVLhFybGIJnHzQNzyQBV6sO8ahjKzVNUoDx3MdXG_5-eppxEHr92EWHOyybQGnojUxG-WDQzmP0tbuf3SPQKEzMM1L1rk1E6nPZusEJjm8eEs_uVxDZgts67QzMvsxTIJsJt_doCXDzewwifUErE-nbzyYxYU4frPRAJqpiCwOgN_NpBKp-LWzlQgVdFiX7Xr7svdAr6zcfiu3cQF&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.2287813,119.6632167,ChIJ73KT8xDpvi0Rl1YJO8thhPo
